geo_level,geo_code,name,variable,value
subcounty,,Aberdare Forest,Female,48
subcounty,,Aberdare Forest,Total,164
subcounty,,Ainabkoi,Total,138184
subcounty,,Ainabkoi,Intersex,1
subcounty,,Ainabkoi,Male,68348
subcounty,,Ainabkoi,Female,69835
subcounty,,Athi River,Total,322499
subcounty,,Athi River,Male,164322
subcounty,,Athi River,Female,158172
subcounty,,Athi River,Intersex,5
subcounty,,Awendo,Female,60939
subcounty,,Awendo,Total,117290
subcounty,,Awendo,Male,56348
subcounty,,Awendo,Intersex,3
subcounty,,Balambala,Male,20277
subcounty,,Balambala,Total,32257
subcounty,,Balambala,Intersex,1
subcounty,,Balambala,Female,11979
subcounty,,Banisa,Female,74288
subcounty,,Banisa,Male,78301
subcounty,,Banisa,Total,152598
subcounty,,Banisa,Intersex,9
subcounty,,Baringo Central,Male,48120
subcounty,,Baringo Central,Intersex,2
subcounty,,Baringo Central,Total,96951
subcounty,,Baringo Central,Female,48829
subcounty,,Baringo North,Male,52369
subcounty,,Baringo North,Female,52500
subcounty,,Baringo North,Intersex,2
subcounty,,Baringo North,Total,104871
subcounty,,Belgut,Female,72564
subcounty,,Belgut,Intersex,
subcounty,,Belgut,Male,72508
subcounty,,Belgut,Total,145072
subcounty,,Bomet Central,Male,87782
subcounty,,Bomet Central,Intersex,4
subcounty,,Bomet Central,Female,87429
subcounty,,Bomet Central,Total,175215
subcounty,,Bomet East,Female,73172
subcounty,,Bomet East,Total,144275
subcounty,,Bomet East,Intersex,8
subcounty,,Bomet East,Male,71095
subcounty,,Bondo,Total,197883
subcounty,,Bondo,Intersex,4
subcounty,,Bondo,Male,95962
subcounty,,Bondo,Female,101917
subcounty,,Borabu,Total,73167
subcounty,,Borabu,Intersex,
subcounty,,Borabu,Female,36431
subcounty,,Borabu,Male,36736
subcounty,,Bumula,Female,112523
subcounty,,Bumula,Male,103368
subcounty,,Bumula,Total,215892
subcounty,,Bumula,Intersex,1
subcounty,,Buna,Intersex,2
subcounty,,Buna,Female,23088
subcounty,,Buna,Male,26796
subcounty,,Buna,Total,49886
subcounty,,Bungoma Central,Female,91438
subcounty,,Bungoma Central,Male,86302
subcounty,,Bungoma Central,Total,177748
subcounty,,Bungoma Central,Intersex,8
subcounty,,Bungoma East,Intersex,2
subcounty,,Bungoma East,Female,58771
subcounty,,Bungoma East,Male,55775
subcounty,,Bungoma East,Total,114548
subcounty,,Bungoma North,Male,58790
subcounty,,Bungoma North,Total,121317
subcounty,,Bungoma North,Female,62526
subcounty,,Bungoma North,Intersex,1
subcounty,,Bungoma South,Total,287765
subcounty,,Bungoma South,Male,139705
subcounty,,Bungoma South,Female,148055
subcounty,,Bungoma South,Intersex,5
subcounty,,Bungoma West,Intersex,1
subcounty,,Bungoma West,Male,58225
subcounty,,Bungoma West,Total,119875
subcounty,,Bungoma West,Female,61649
subcounty,,Bunyala,Intersex,1
subcounty,,Bunyala,Total,85977
subcounty,,Bunyala,Female,44511
subcounty,,Bunyala,Male,41465
subcounty,,Bureti,Male,98823
subcounty,,Bureti,Female,100642
subcounty,,Bureti,Total,199470
subcounty,,Bureti,Intersex,5
subcounty,,Busia,Total,142408
subcounty,,Busia,Female,73373
subcounty,,Busia,Male,69034
subcounty,,Busia,Intersex,1
subcounty,,Butere,Female,80463
subcounty,,Butere,Male,73634
subcounty,,Butere,Total,154100
subcounty,,Butere,Intersex,3
subcounty,,Butula,Total,140334
subcounty,,Butula,Male,65136
subcounty,,Butula,Intersex,3
subcounty,,Butula,Female,75195
subcounty,,Buuri East,Total,76598
subcounty,,Buuri East,Intersex,
subcounty,,Buuri East,Male,38101
subcounty,,Buuri East,Female,38497
subcounty,,Buuri West,Female,40264
subcounty,,Buuri West,Intersex,2
subcounty,,Buuri West,Total,80762
subcounty,,Buuri West,Male,40496
subcounty,,Changamwe,Female,63121
subcounty,,Changamwe,Intersex,
subcounty,,Changamwe,Total,131882
subcounty,,Changamwe,Male,68761
subcounty,,Chepalungu,Female,84912
subcounty,,Chepalungu,Intersex,4
subcounty,,Chepalungu,Total,164837
subcounty,,Chepalungu,Male,79921
subcounty,,Cheptais,Male,67717
subcounty,,Cheptais,Total,136035
subcounty,,Cheptais,Female,68312
subcounty,,Cheptais,Intersex,6
subcounty,,Chesumei,Male,80949
subcounty,,Chesumei,Intersex,4
subcounty,,Chesumei,Female,83180
subcounty,,Chesumei,Total,164133
subcounty,,Chonyi,Male,29527
subcounty,,Chonyi,Total,62335
subcounty,,Chonyi,Female,32807
subcounty,,Chonyi,Intersex,1
subcounty,,Dadaab,Intersex,8
subcounty,,Dadaab,Male,99059
subcounty,,Dadaab,Total,185252
subcounty,,Dadaab,Female,86185
subcounty,,Dagoretti,Male,217651
subcounty,,Dagoretti,Intersex,31
subcounty,,Dagoretti,Total,434208
subcounty,,Dagoretti,Female,216526
subcounty,,East Pokot,Intersex,2
subcounty,,East Pokot,Total,79923
subcounty,,East Pokot,Female,39459
subcounty,,East Pokot,Male,40462
subcounty,,Eldas,Female,43759
subcounty,,Eldas,Intersex,7
subcounty,,Eldas,Male,44743
subcounty,,Eldas,Total,88509
subcounty,,Embakasi,Total,988808
subcounty,,Embakasi,Intersex,62
subcounty,,Embakasi,Male,492476
subcounty,,Embakasi,Female,496270
subcounty,,Embu East,Total,129564
subcounty,,Embu East,Intersex,2
subcounty,,Embu East,Male,64571
subcounty,,Embu East,Female,64991
subcounty,,Embu North,Male,39665
subcounty,,Embu North,Female,39888
subcounty,,Embu North,Total,79556
subcounty,,Embu North,Intersex,3
subcounty,,Embu West,Male,63125
subcounty,,Embu West,Female,63966
subcounty,,Embu West,Total,127100
subcounty,,Embu West,Intersex,9
subcounty,,Emuhaya,Male,46507
subcounty,,Emuhaya,Total,97141
subcounty,,Emuhaya,Female,50633
subcounty,,Emuhaya,Intersex,1
subcounty,,Endebess,Intersex,3
subcounty,,Endebess,Total,111782
subcounty,,Endebess,Male,56090
subcounty,,Endebess,Female,55689
subcounty,,Etago,Intersex,3
subcounty,,Etago,Male,40137
subcounty,,Etago,Female,43647
subcounty,,Etago,Total,83787
subcounty,,Fafi,Intersex,10
subcounty,,Fafi,Male,72617
subcounty,,Fafi,Female,61413
subcounty,,Fafi,Total,134040
subcounty,,Ganze,Total,143906
subcounty,,Ganze,Male,66921
subcounty,,Ganze,Female,76981
subcounty,,Ganze,Intersex,4
subcounty,,Garbatulla,Intersex,1
subcounty,,Garbatulla,Female,45068
subcounty,,Garbatulla,Total,99730
subcounty,,Garbatulla,Male,54661
subcounty,,Garissa,Female,80449
subcounty,,Garissa,Total,163914
subcounty,,Garissa,Male,83460
subcounty,,Garissa,Intersex,5
subcounty,,Gatanga,Male,94437
subcounty,,Gatanga,Intersex,4
subcounty,,Gatanga,Female,93548
subcounty,,Gatanga,Total,187989
subcounty,,Gatundu North,Female,55678
subcounty,,Gatundu North,Intersex,3
subcounty,,Gatundu North,Male,54189
subcounty,,Gatundu North,Total,109870
subcounty,,Gatundu South,Male,60384
subcounty,,Gatundu South,Intersex,5
subcounty,,Gatundu South,Total,122103
subcounty,,Gatundu South,Female,61714
subcounty,,Gem,Intersex,4
subcounty,,Gem,Female,94092
subcounty,,Gem,Male,85696
subcounty,,Gem,Total,179792
subcounty,,Gilgil,Total,185209
subcounty,,Gilgil,Intersex,7
subcounty,,Gilgil,Male,92955
subcounty,,Gilgil,Female,92247
subcounty,,Githunguri,Total,165232
subcounty,,Githunguri,Female,83187
subcounty,,Githunguri,Male,82037
subcounty,,Githunguri,Intersex,8
subcounty,,Gucha,Male,39631
subcounty,,Gucha,Total,83740
subcounty,,Gucha,Female,44108
subcounty,,Gucha,Intersex,1
