geo_level,geo_code,goe_version,name,variable,value
municipality,5227,,Richmond,Do not know,42.87879
municipality,5227,,Richmond,No,46377.9
municipality,5227,,Richmond,Unspecified,187.911
municipality,5227,,Richmond,Yes,24713.13
municipality,5235,,Okhahlamba,Do not know,71.51963
municipality,5235,,Okhahlamba,No,70052.37
municipality,5235,,Okhahlamba,Unspecified,0
municipality,5235,,Okhahlamba,Yes,65008.04
municipality,5237,,Inkosi Langalibalele,Do not know,488.7056
municipality,5237,,Inkosi Langalibalele,No,118469.7
municipality,5237,,Inkosi Langalibalele,Unspecified,0
municipality,5237,,Inkosi Langalibalele,Yes,96223.22
municipality,5238,,Alfred Duma,Do not know,590.0192
municipality,5238,,Alfred Duma,No,222391.2
municipality,5238,,Alfred Duma,Unspecified,9.40778
municipality,5238,,Alfred Duma,Yes,133283.8
municipality,5241,,Endumeni,Do not know,5.599809
municipality,5241,,Endumeni,No,52461.05
municipality,5241,,Endumeni,Unspecified,0
municipality,5241,,Endumeni,Yes,24172.22
municipality,5242,,Nqutu,Do not know,50.67494
municipality,5242,,Nqutu,No,102116.8
municipality,5242,,Nqutu,Unspecified,103.7199
municipality,5242,,Nqutu,Yes,69054.04
municipality,5244,,Msinga,Do not know,0
municipality,5244,,Msinga,No,112501.1
municipality,5244,,Msinga,Unspecified,0
municipality,5244,,Msinga,Yes,71993.28
municipality,5245,,Umvoti,Do not know,0
municipality,5245,,Umvoti,No,69398.87
municipality,5245,,Umvoti,Unspecified,0
municipality,5245,,Umvoti,Yes,53024.49
municipality,5252,,Newcastle,Do not know,281.3157
municipality,5252,,Newcastle,No,268360.4
municipality,5252,,Newcastle,Unspecified,14.55263
municipality,5252,,Newcastle,Yes,120460.4
municipality,5253,,Emadlangeni,Do not know,44.72333
municipality,5253,,Emadlangeni,No,23105.92
municipality,5253,,Emadlangeni,Unspecified,0
municipality,5253,,Emadlangeni,Yes,13718.31
municipality,5254,,Dannhauser,Do not know,51.25573
municipality,5254,,Dannhauser,No,70384.51
municipality,5254,,Dannhauser,Unspecified,0
municipality,5254,,Dannhauser,Yes,34905.47
municipality,5261,,eDumbe,Do not know,202.3774
municipality,5261,,eDumbe,No,59629.85
municipality,5261,,eDumbe,Unspecified,0
municipality,5261,,eDumbe,Yes,29782
municipality,5262,,uPhongolo,Do not know,266.8346
municipality,5262,,uPhongolo,No,79800.5
municipality,5262,,uPhongolo,Unspecified,32.80929
municipality,5262,,uPhongolo,Yes,61146.48
municipality,5263,,Abaqulusi,Do not know,1334.191
municipality,5263,,Abaqulusi,No,137236.5
municipality,5263,,Abaqulusi,Unspecified,77.09796
municipality,5263,,Abaqulusi,Yes,105146.8
municipality,5265,,Nongoma,Do not know,452.4103
municipality,5265,,Nongoma,No,122547.5
municipality,5265,,Nongoma,Unspecified,219.7483
municipality,5265,,Nongoma,Yes,88672.83
municipality,5266,,Ulundi,Do not know,531.9124
