geo_level,geo_code,goe_version,name,variable,value
municipality,292,,Buffalo City,Do not know,808.4682
municipality,2920,,Buffalo City,Do not know,808.4682
municipality,292,,Buffalo City,Do not know,808.4682
municipality,2920,,Buffalo City,Do not know,808.4682
municipality,292,,Buffalo City,No,570812.7
municipality,2920,,Buffalo City,No,570812.7
municipality,292,,Buffalo City,No,570812.7
municipality,2920,,Buffalo City,No,570812.7
municipality,292,,Buffalo City,Unspecified,488.6178
municipality,2920,,Buffalo City,Unspecified,488.6178
municipality,292,,Buffalo City,Unspecified,488.6178
municipality,2920,,Buffalo City,Unspecified,488.6178
municipality,292,,Buffalo City,Yes,262887.4
municipality,2920,,Buffalo City,Yes,262887.4
municipality,292,,Buffalo City,Yes,262887.4
municipality,2920,,Buffalo City,Yes,262887.4
municipality,191,,City of Cape Town,Do not know,10238.19
municipality,1910,,City of Cape Town,Do not know,10238.19
municipality,191,,City of Cape Town,Do not know,10238.19
municipality,1910,,City of Cape Town,Do not know,10238.19
municipality,191,,City of Cape Town,No,3362110
municipality,1910,,City of Cape Town,No,3362110
municipality,191,,City of Cape Town,No,3362110
municipality,1910,,City of Cape Town,No,3362110
municipality,191,,City of Cape Town,Unspecified,2853.561
municipality,1910,,City of Cape Town,Unspecified,2853.561
municipality,191,,City of Cape Town,Unspecified,2853.561
municipality,1910,,City of Cape Town,Unspecified,2853.561
municipality,191,,City of Cape Town,Yes,629813.6
municipality,1910,,City of Cape Town,Yes,629813.6
municipality,191,,City of Cape Town,Yes,629813.6
municipality,1910,,City of Cape Town,Yes,629813.6
district,210,,Cacadu,Do not know,2337.871
district,210,,Cacadu,No,371761.9
district,210,,Cacadu,Unspecified,174.8271
district,210,,Cacadu,Yes,105648.2
district,212,,Amathole,Do not know,2211.752
district,212,,Amathole,No,581198.9
district,212,,Amathole,Unspecified,379.9563
district,212,,Amathole,Yes,296999.7
district,213,,Chris Hani,Do not know,977.8843
district,213,,Chris Hani,No,629284.9
district,213,,Chris Hani,Unspecified,134.6047
district,213,,Chris Hani,Yes,209657.3
district,214,,Joe Gqabi,Do not know,938.6098
district,214,,Joe Gqabi,No,286154.7
district,214,,Joe Gqabi,Unspecified,379.2884
district,214,,Joe Gqabi,Yes,85439.2
district,215,,O.R.Tambo,Do not know,4229.342
district,215,,O.R.Tambo,No,992907.6
district,215,,O.R.Tambo,Unspecified,1035.069
district,215,,O.R.Tambo,Yes,459212.3
district,416,,Xhariep,Do not know,417.9288
district,416,,Xhariep,No,98387.98
district,416,,Xhariep,Unspecified,90.8579
district,416,,Xhariep,Yes,26987.12
district,418,,Lejweleputswa,Do not know,629.1605
district,418,,Lejweleputswa,No,449604.5
district,418,,Lejweleputswa,Unspecified,326.5724
district,418,,Lejweleputswa,Yes,196359.6
district,419,,Thabo Mofutsanyane,Do not know,1026.602
district,419,,Thabo Mofutsanyane,No,562110.9
district,419,,Thabo Mofutsanyane,Unspecified,425.6078
district,419,,Thabo Mofutsanyane,Yes,215766.9
district,101,,West Coast,Do not know,922.9231
district,101,,West Coast,No,364381.8
district,101,,West Coast,Unspecified,212.9294
district,101,,West Coast,Yes,70885.29
district,420,,Fezile Dabi,Do not know,1047.634
district,420,,Fezile Dabi,No,376393.2
district,420,,Fezile Dabi,Unspecified,192.0092
district,420,,Fezile Dabi,Yes,117144
district,521,,Ugu,Do not know,818.8265
district,521,,Ugu,No,495597.1
district,521,,Ugu,Unspecified,73.48546
district,521,,Ugu,Yes,256846.6
district,522,,Umgungundlovu,Do not know,2325.207
district,522,,Umgungundlovu,No,847467.7
district,522,,Umgungundlovu,Unspecified,887.418
district,522,,Umgungundlovu,Yes,245184.3
district,523,,Uthukela,Do not know,1150.245
district,523,,Uthukela,No,410913.3
district,523,,Uthukela,Unspecified,9.40778
district,523,,Uthukela,Yes,294515.1
district,524,,Umzinyathi,Do not know,56.27475
district,524,,Umzinyathi,No,336477.8
district,524,,Umzinyathi,Unspecified,103.7199
district,524,,Umzinyathi,Yes,218244
district,525,,Amajuba,Do not know,377.2947
district,525,,Amajuba,No,361850.8
district,525,,Amajuba,Unspecified,14.55263
district,525,,Amajuba,Yes,169084.2
district,526,,Zululand,Do not know,2787.725
district,526,,Zululand,No,540297.6
district,526,,Zululand,Unspecified,359.2487
district,526,,Zululand,Yes,348865.1
district,527,,Umkhanyakude,Do not know,3224.668
district,527,,Umkhanyakude,No,421441.4
district,527,,Umkhanyakude,Unspecified,311.6346
district,527,,Umkhanyakude,Yes,264112.5
district,528,,Uthungulu,Do not know,775.8062
district,528,,Uthungulu,No,599357.9
district,528,,Uthungulu,Unspecified,214.0253
district,528,,Uthungulu,Yes,370786.9
district,529,,iLembe,Do not know,433.1507
district,529,,iLembe,No,460386.5
district,529,,iLembe,Unspecified,187.8989
district,529,,iLembe,Yes,196604.8
district,102,,Cape Winelands,Do not know,1084.334
district,102,,Cape Winelands,No,726534.4
district,102,,Cape Winelands,Unspecified,1375.627
district,102,,Cape Winelands,Yes,137006.3
district,830,,Gert Sibande,Do not know,3451.454
district,830,,Gert Sibande,No,842651.9
district,830,,Gert Sibande,Unspecified,538.8308
district,830,,Gert Sibande,Yes,288767.2
district,831,,Nkangala,Do not know,4561.037
district,831,,Nkangala,No,1071712
district,831,,Nkangala,Unspecified,700.5939
district,831,,Nkangala,Yes,368650.2
district,832,,Ehlanzeni,Do not know,14654.26
district,832,,Ehlanzeni,No,1331159
district,832,,Ehlanzeni,Unspecified,1000.416
district,832,,Ehlanzeni,Yes,408117.2
district,933,,Mopani,Do not know,1794.85
district,933,,Mopani,No,883488.5
district,933,,Mopani,Unspecified,884.3726
district,933,,Mopani,Yes,273017.7
district,934,,Vhembe,Do not know,1974.398
district,934,,Vhembe,No,1105613
district,934,,Vhembe,Unspecified,482.5425
district,934,,Vhembe,Yes,285879.3
district,935,,Capricorn,Do not know,2652.239
district,935,,Capricorn,No,1144048
district,935,,Capricorn,Unspecified,741.4863
district,935,,Capricorn,Yes,182994.1
district,936,,Waterberg,Do not know,791.7704
district,936,,Waterberg,No,601615.7
district,936,,Waterberg,Unspecified,719.6498
district,936,,Waterberg,Yes,142630.6
district,637,,Bojanala,Do not know,5423.044
district,637,,Bojanala,No,1283559
district,637,,Bojanala,Unspecified,564.6205
district,637,,Bojanala,Yes,367601.8
district,638,,Ngaka Modiri Molema,Do not know,1123.356
district,638,,Ngaka Modiri Molema,No,598449.1
district,638,,Ngaka Modiri Molema,Unspecified,381.7136
district,638,,Ngaka Modiri Molema,Yes,289154.3
district,639,,Dr Ruth Segomotsi Mompati,Do not know,865.3798
district,639,,Dr Ruth Segomotsi Mompati,No,284939.6
district,639,,Dr Ruth Segomotsi Mompati,Unspecified,106.9868
district,639,,Dr Ruth Segomotsi Mompati,Yes,173445.5
district,103,,Overberg,Do not know,1099.36
district,103,,Overberg,No,238798.4
district,103,,Overberg,Unspecified,144.1996
district,103,,Overberg,Yes,46744.4
district,640,,Dr Kenneth Kaunda,Do not know,3603.198
district,640,,Dr Kenneth Kaunda,No,491781.6
district,640,,Dr Kenneth Kaunda,Unspecified,241.7923
district,640,,Dr Kenneth Kaunda,Yes,247194.7
district,742,,Sedibeng,Do not know,2383.163
district,742,,Sedibeng,No,795711.4
district,742,,Sedibeng,Unspecified,842.3054
district,742,,Sedibeng,Yes,158591.5
district,543,,Sisonke,Do not know,279.5453
district,543,,Sisonke,No,356358.2
district,543,,Sisonke,Unspecified,0
district,543,,Sisonke,Yes,154227.3
district,244,,Alfred Nzo,Do not know,722.2585
district,244,,Alfred Nzo,No,596826.3
district,244,,Alfred Nzo,Unspecified,221.6267
district,244,,Alfred Nzo,Yes,270093.9
district,345,,John Taolo Gaetsewe,Do not know,477.4343
district,345,,John Taolo Gaetsewe,No,137740.7
district,345,,John Taolo Gaetsewe,Unspecified,286.0373
district,345,,John Taolo Gaetsewe,Yes,103760.2
district,947,,Sekhukhune,Do not know,13128.15
district,947,,Sekhukhune,No,876594.9
district,947,,Sekhukhune,Unspecified,883.5692
district,947,,Sekhukhune,Yes,279155.2
district,748,,West Rand,Do not know,2762.127
district,748,,West Rand,No,680863
district,748,,West Rand,Unspecified,592.536
district,748,,West Rand,Yes,154376
district,104,,Eden,Do not know,2461.333
district,104,,Eden,No,513722.2
district,104,,Eden,Unspecified,712.1451
district,104,,Eden,Yes,94382.03
district,105,,Central Karoo,Do not know,21.53469
district,105,,Central Karoo,No,61104.04
district,105,,Central Karoo,Unspecified,94.12557
district,105,,Central Karoo,Yes,13027.53
district,306,,Namakwa,Do not know,320.8595
district,306,,Namakwa,No,87611.96
district,306,,Namakwa,Unspecified,159.7927
district,306,,Namakwa,Yes,27394.98
district,307,,Pixley ka Seme,Do not know,323.6675
district,307,,Pixley ka Seme,No,133200.3
district,307,,Pixley ka Seme,Unspecified,0
district,307,,Pixley ka Seme,Yes,62071.08
district,308,,Z F Mgcawu,Do not know,699.0348
district,308,,Z F Mgcawu,No,174186.2
district,308,,Z F Mgcawu,Unspecified,61.76475
district,308,,Z F Mgcawu,Yes,77744.99
district,309,,Frances Baard,Do not know,558.5569
district,309,,Frances Baard,No,294555.9
district,309,,Frances Baard,Unspecified,527.8658
district,309,,Frances Baard,Yes,92098.93
municipality,2101,,Dr Beyers Naude,Do not know,0
municipality,2101,,Dr Beyers Naude,No,69353.58
municipality,2101,,Dr Beyers Naude,Unspecified,0
municipality,2101,,Dr Beyers Naude,Yes,12843.14
municipality,2102,,Blue Crane Route,Do not know,165.1032
municipality,2102,,Blue Crane Route,No,26206.85
municipality,2102,,Blue Crane Route,Unspecified,0
municipality,2102,,Blue Crane Route,Yes,9691.304
municipality,2104,,Makana,Do not know,195.4082
municipality,2104,,Makana,No,64822.07
municipality,2104,,Makana,Unspecified,0
municipality,2104,,Makana,Yes,17042.58
municipality,2105,,Ndlambe,Do not know,17.33914
municipality,2105,,Ndlambe,No,46279.48
municipality,2105,,Ndlambe,Unspecified,0
municipality,2105,,Ndlambe,Yes,16883.56
municipality,2106,,Sundays River Valley,Do not know,324.6956
municipality,2106,,Sundays River Valley,No,38622.93
municipality,2106,,Sundays River Valley,Unspecified,44.94193
municipality,2106,,Sundays River Valley,Yes,20800.13
municipality,2108,,Kouga,Do not know,1510.245
municipality,2108,,Kouga,No,85129.06
municipality,2108,,Kouga,Unspecified,129.8851
municipality,2108,,Kouga,Yes,26172.11
municipality,2109,,Kou-Kamma,Do not know,125.0796
municipality,2109,,Kou-Kamma,No,41347.98
municipality,2109,,Kou-Kamma,Unspecified,0
municipality,2109,,Kou-Kamma,Yes,2215.398
municipality,2121,,Mbhashe,Do not know,985.1431
municipality,2121,,Mbhashe,No,192195.9
municipality,2121,,Mbhashe,Unspecified,88.71358
municipality,2121,,Mbhashe,Yes,83979.98
municipality,2122,,Mnquma,Do not know,531.2651
municipality,2122,,Mnquma,No,156074.1
municipality,2122,,Mnquma,Unspecified,263.3754
municipality,2122,,Mnquma,Yes,89944.6
municipality,2123,,Great Kei,Do not know,0
municipality,2123,,Great Kei,No,19464.38
municipality,2123,,Great Kei,Unspecified,0
municipality,2123,,Great Kei,Yes,12227.69
municipality,2124,,Amahlathi,Do not know,260.3168
municipality,2124,,Amahlathi,No,70090.4
municipality,2124,,Amahlathi,Unspecified,27.86734
municipality,2124,,Amahlathi,Yes,31446.96
municipality,2126,,Ngqushwa,Do not know,0
municipality,2126,,Ngqushwa,No,35963.95
municipality,2126,,Ngqushwa,Unspecified,0
municipality,2126,,Ngqushwa,Yes,27730.2
municipality,2129,,Raymond Mhlaba,Do not know,435.0275
municipality,2129,,Raymond Mhlaba,No,107410.2
municipality,2129,,Raymond Mhlaba,Unspecified,0
municipality,2129,,Raymond Mhlaba,Yes,51670.25
municipality,2131,,Inxuba Yethemba,Do not know,230.5188
municipality,2131,,Inxuba Yethemba,No,52059.22
municipality,2131,,Inxuba Yethemba,Unspecified,0
municipality,2131,,Inxuba Yethemba,Yes,18202.9
municipality,2135,,Intsika Yethu,Do not know,207.3716
municipality,2135,,Intsika Yethu,No,121113.3
municipality,2135,,Intsika Yethu,Unspecified,7.496843
municipality,2135,,Intsika Yethu,Yes,30830.39
municipality,2136,,Emalahleni,Do not know,57.02319
municipality,8312,,Emalahleni,Do not know,57.02319
municipality,2136,,Emalahleni,No,85378.68
municipality,8312,,Emalahleni,No,85378.68
municipality,2136,,Emalahleni,Unspecified,0
municipality,8312,,Emalahleni,Unspecified,0
municipality,2136,,Emalahleni,Yes,39096.54
municipality,8312,,Emalahleni,Yes,39096.54
municipality,2137,,Engcobo,Do not know,0
municipality,2137,,Engcobo,No,131317.9
municipality,2137,,Engcobo,Unspecified,48.71065
municipality,2137,,Engcobo,Yes,30647.13
municipality,2138,,Sakhisizwe,Do not know,32.57103
municipality,2138,,Sakhisizwe,No,43579.83
municipality,2138,,Sakhisizwe,Unspecified,0
municipality,2138,,Sakhisizwe,Yes,20233.9
municipality,2139,,Enoch Mgijima,Do not know,450.3997
municipality,2139,,Enoch Mgijima,No,195836
municipality,2139,,Enoch Mgijima,Unspecified,78.39722
municipality,2139,,Enoch Mgijima,Yes,70646.42
municipality,2141,,Elundini,Do not know,638.6646
municipality,2141,,Elundini,No,102852.5
municipality,2141,,Elundini,Unspecified,277.5517
municipality,2141,,Elundini,Yes,41160.3
municipality,2142,,Senqu,Do not know,202.2351
municipality,2142,,Senqu,No,110192.5
municipality,2142,,Senqu,Unspecified,68.80058
municipality,2142,,Senqu,Yes,30256.23
municipality,2145,,Walter Sisulu,Do not know,97.71009
municipality,2145,,Walter Sisulu,No,73109.7
municipality,2145,,Walter Sisulu,Unspecified,32.93606
municipality,2145,,Walter Sisulu,Yes,14022.67
municipality,2153,,Ngquza Hill,Do not know,78.17899
municipality,2153,,Ngquza Hill,No,188764.7
municipality,2153,,Ngquza Hill,Unspecified,24.45311
municipality,2153,,Ngquza Hill,Yes,114511.6
municipality,2154,,Port St Johns,Do not know,54.24256
municipality,2154,,Port St Johns,No,118218.5
municipality,2154,,Port St Johns,Unspecified,161.0902
municipality,2154,,Port St Johns,Yes,48345.12
municipality,2155,,Nyandeni,Do not know,336.6702
municipality,2155,,Nyandeni,No,204951
municipality,2155,,Nyandeni,Unspecified,326.2475
municipality,2155,,Nyandeni,Yes,104088
municipality,2156,,Mhlontlo,Do not know,973.6757
municipality,2156,,Mhlontlo,No,145343.3
municipality,2156,,Mhlontlo,Unspecified,130.7404
municipality,2156,,Mhlontlo,Yes,42728.14
municipality,2157,,King Sabata Dalindyebo,Do not know,2786.574
municipality,2157,,King Sabata Dalindyebo,No,335630.1
municipality,2157,,King Sabata Dalindyebo,Unspecified,392.5382
municipality,2157,,King Sabata Dalindyebo,Yes,149539.4
municipality,2441,,Matatiele,Do not know,212.1979
municipality,2441,,Matatiele,No,143895.1
municipality,2441,,Matatiele,Unspecified,0
municipality,2441,,Matatiele,Yes,75340.08
municipality,2442,,Umzimvubu,Do not know,354.0445
municipality,2442,,Umzimvubu,No,135665.2
municipality,2442,,Umzimvubu,Unspecified,0
municipality,2442,,Umzimvubu,Yes,63600.85
municipality,2443,,Mbizana,Do not know,0
municipality,2443,,Mbizana,No,220931.5
municipality,2443,,Mbizana,Unspecified,221.6267
municipality,2443,,Mbizana,Yes,98794.95
municipality,2444,,Ntabankulu,Do not know,156.0162
municipality,2444,,Ntabankulu,No,96334.47
municipality,2444,,Ntabankulu,Unspecified,0
municipality,2444,,Ntabankulu,Yes,32357.99
province,EC,,Eastern Cape,Do not know,14717.9
province,EC,,Eastern Cape,No,4949073
province,EC,,Eastern Cape,Unspecified,2878.295
province,EC,,Eastern Cape,Yes,2030307
municipality,797,,Ekurhuleni,Do not know,17327.57
municipality,7970,,Ekurhuleni,Do not know,17327.57
municipality,797,,Ekurhuleni,Do not know,17327.57
municipality,7970,,Ekurhuleni,Do not know,17327.57
municipality,797,,Ekurhuleni,No,2806287
municipality,7970,,Ekurhuleni,No,2806287
municipality,797,,Ekurhuleni,No,2806287
municipality,7970,,Ekurhuleni,No,2806287
municipality,797,,Ekurhuleni,Unspecified,2860.59
municipality,7970,,Ekurhuleni,Unspecified,2860.59
municipality,797,,Ekurhuleni,Unspecified,2860.59
municipality,7970,,Ekurhuleni,Unspecified,2860.59
municipality,797,,Ekurhuleni,Yes,552629.2
municipality,7970,,Ekurhuleni,Yes,552629.2
municipality,797,,Ekurhuleni,Yes,552629.2
municipality,7970,,Ekurhuleni,Yes,552629.2
municipality,595,,eThekwini,Do not know,7517.161
municipality,5950,,eThekwini,Do not know,7517.161
municipality,595,,eThekwini,Do not know,7517.161
municipality,5950,,eThekwini,Do not know,7517.161
municipality,595,,eThekwini,No,3114207
municipality,5950,,eThekwini,No,3114207
municipality,595,,eThekwini,No,3114207
municipality,5950,,eThekwini,No,3114207
municipality,595,,eThekwini,Unspecified,1415.442
municipality,5950,,eThekwini,Unspecified,1415.442
municipality,595,,eThekwini,Unspecified,1415.442
municipality,5950,,eThekwini,Unspecified,1415.442
municipality,595,,eThekwini,Yes,579091.2
municipality,5950,,eThekwini,Yes,579091.2
municipality,595,,eThekwini,Yes,579091.2
municipality,5950,,eThekwini,Yes,579091.2
municipality,4161,,Letsemeng,Do not know,74.76301
municipality,4161,,Letsemeng,No,32937.38
municipality,4161,,Letsemeng,Unspecified,0
municipality,4161,,Letsemeng,Yes,7032.157
municipality,4162,,Kopanong,Do not know,79.14926
municipality,4162,,Kopanong,No,40249.46
municipality,4162,,Kopanong,Unspecified,90.8579
municipality,4162,,Kopanong,Yes,9579.771
municipality,4163,,Mohokare,Do not know,264.0165
municipality,4163,,Mohokare,No,25201.14
municipality,4163,,Mohokare,Unspecified,0
municipality,4163,,Mohokare,Yes,10375.19
municipality,4181,,Masilonyana,Do not know,0
municipality,4181,,Masilonyana,No,41778.2
municipality,4181,,Masilonyana,Unspecified,13.09131
municipality,4181,,Masilonyana,Yes,20978.68
municipality,4182,,Tokologo,Do not know,59.91712
municipality,4182,,Tokologo,No,23382.27
municipality,4182,,Tokologo,Unspecified,0
municipality,4182,,Tokologo,Yes,5706.509
municipality,4183,,Tswelopele,Do not know,0
municipality,4183,,Tswelopele,No,25784.41
municipality,4183,,Tswelopele,Unspecified,45.53584
municipality,4183,,Tswelopele,Yes,21543.07
municipality,4184,,Matjhabeng,Do not know,360.117
municipality,4184,,Matjhabeng,No,310613.7
municipality,4184,,Matjhabeng,Unspecified,267.9452
municipality,4184,,Matjhabeng,Yes,117871.3
municipality,4185,,Nala,Do not know,209.1264
municipality,4185,,Nala,No,48045.96
municipality,4185,,Nala,Unspecified,0
municipality,4185,,Nala,Yes,30260.07
municipality,4191,,Setsoto,Do not know,52.04109
municipality,4191,,Setsoto,No,76693.16
municipality,4191,,Setsoto,Unspecified,95.60753
municipality,4191,,Setsoto,Yes,40521.18
municipality,4192,,Dihlabeng,Do not know,33.95272
municipality,4192,,Dihlabeng,No,113280.3
municipality,4192,,Dihlabeng,Unspecified,121.434
municipality,4192,,Dihlabeng,Yes,26608.03
municipality,4193,,Nketoana,Do not know,0
municipality,4193,,Nketoana,No,52852.7
municipality,4193,,Nketoana,Unspecified,82.55808
municipality,4193,,Nketoana,Yes,11958.01
municipality,4194,,Maluti a Phofung,Do not know,743.1675
municipality,4194,,Maluti a Phofung,No,240523.2
municipality,4194,,Maluti a Phofung,Unspecified,115.1102
municipality,4194,,Maluti a Phofung,Yes,112070.6
municipality,4195,,Phumelela,Do not know,0
municipality,4195,,Phumelela,No,40269.55
municipality,4195,,Phumelela,Unspecified,0
municipality,4195,,Phumelela,Yes,9783.975
municipality,4196,,Mantsopa,Do not know,197.4402
municipality,4196,,Mantsopa,No,38491.96
municipality,4196,,Mantsopa,Unspecified,10.89798
municipality,4196,,Mantsopa,Yes,14825.03
municipality,4201,,Moqhaka,Do not know,233.8766
municipality,4201,,Moqhaka,No,110106.2
municipality,4201,,Moqhaka,Unspecified,0
municipality,4201,,Moqhaka,Yes,44391.6
municipality,4203,,Ngwathe,Do not know,50.26167
municipality,4203,,Ngwathe,No,88076.52
municipality,4203,,Ngwathe,Unspecified,121.4462
municipality,4203,,Ngwathe,Yes,30658.59
municipality,4204,,Metsimaholo,Do not know,65.46226
municipality,4204,,Metsimaholo,No,132074.4
municipality,4204,,Metsimaholo,Unspecified,18.63221
municipality,4204,,Metsimaholo,Yes,31405.76
municipality,4205,,Mafube,Do not know,698.0331
municipality,4205,,Mafube,No,46136.09
municipality,4205,,Mafube,Unspecified,51.9308
municipality,4205,,Mafube,Yes,10688.06
province,FS,,Free State,Do not know,4524.905
province,FS,,Free State,No,2111955
province,FS,,Free State,Unspecified,1873.576
province,FS,,Free State,Yes,716360
province,GT,,Gauteng,Do not know,61890.39
province,GT,,Gauteng,No,11013885
province,GT,,Gauteng,Unspecified,11897.02
province,GT,,Gauteng,Yes,2312052
municipality,7421,,Emfuleni,Do not know,1427.601
municipality,7421,,Emfuleni,No,622533.6
municipality,7421,,Emfuleni,Unspecified,771.6538
municipality,7421,,Emfuleni,Yes,108711.9
municipality,7422,,Midvaal,Do not know,606.8447
municipality,7422,,Midvaal,No,91659.64
municipality,7422,,Midvaal,Unspecified,5.552759
municipality,7422,,Midvaal,Yes,19339.57
municipality,7423,,Lesedi,Do not know,348.7171
municipality,7423,,Lesedi,No,81518.21
municipality,7423,,Lesedi,Unspecified,65.09884
municipality,7423,,Lesedi,Yes,30540.07
municipality,7481,,Mogale City,Do not know,1375.909
municipality,7481,,Mogale City,No,320235.1
municipality,7481,,Mogale City,Unspecified,303.1626
municipality,7481,,Mogale City,Yes,61950.2
municipality,7484,,Merafong City,Do not know,666.2107
municipality,7484,,Merafong City,No,140220.1
municipality,7484,,Merafong City,Unspecified,151.4481
municipality,7484,,Merafong City,Yes,47805.03
municipality,7485,,Rand West City,Do not know,720.0077
municipality,7485,,Rand West City,No,220407.9
municipality,7485,,Rand West City,Unspecified,137.9253
municipality,7485,,Rand West City,Yes,44620.73
municipality,798,,City of Johannesburg,Do not know,22458.86
municipality,7980,,City of Johannesburg,Do not know,22458.86
municipality,798,,City of Johannesburg,Do not know,22458.86
municipality,7980,,City of Johannesburg,Do not know,22458.86
municipality,798,,City of Johannesburg,No,3981119
municipality,7980,,City of Johannesburg,No,3981119
municipality,798,,City of Johannesburg,No,3981119
municipality,7980,,City of Johannesburg,No,3981119
municipality,798,,City of Johannesburg,Unspecified,5055.035
municipality,7980,,City of Johannesburg,Unspecified,5055.035
municipality,798,,City of Johannesburg,Unspecified,5055.035
municipality,7980,,City of Johannesburg,Unspecified,5055.035
municipality,798,,City of Johannesburg,Yes,940713.9
municipality,7980,,City of Johannesburg,Yes,940713.9
municipality,798,,City of Johannesburg,Yes,940713.9
municipality,7980,,City of Johannesburg,Yes,940713.9
province,KZN,,KwaZulu-Natal,Do not know,19745.9
province,KZN,,KwaZulu-Natal,No,7944355
province,KZN,,KwaZulu-Natal,Unspecified,3576.833
province,KZN,,KwaZulu-Natal,Yes,3097562
municipality,5212,,Umdoni,Do not know,294.4873
municipality,5212,,Umdoni,No,98676.27
municipality,5212,,Umdoni,Unspecified,0
municipality,5212,,Umdoni,Yes,45579.79
municipality,5213,,Umzumbe,Do not know,161.1831
municipality,5213,,Umzumbe,No,93117.07
municipality,5213,,Umzumbe,Unspecified,0
municipality,5213,,Umzumbe,Yes,58398.08
municipality,5214,,uMuziwabantu,Do not know,86.95815
municipality,5214,,uMuziwabantu,No,77076.28
municipality,5214,,uMuziwabantu,Unspecified,73.48546
municipality,5214,,uMuziwabantu,Yes,31339.05
municipality,5216,,Ray Nkonyeni,Do not know,276.198
municipality,5216,,Ray Nkonyeni,No,226727.5
municipality,5216,,Ray Nkonyeni,Unspecified,0
municipality,5216,,Ray Nkonyeni,Yes,121529.7
municipality,5221,,uMshwathi,Do not know,30.87703
municipality,5221,,uMshwathi,No,85768.08
municipality,5221,,uMshwathi,Unspecified,0
municipality,5221,,uMshwathi,Yes,25845.88
municipality,5222,,uMngeni,Do not know,241.4992
municipality,5222,,uMngeni,No,71505.6
municipality,5222,,uMngeni,Unspecified,8.532
municipality,5222,,uMngeni,Yes,38111.15
municipality,5223,,Mpofana,Do not know,19.66674
municipality,5223,,Mpofana,No,15321.19
municipality,5223,,Mpofana,Unspecified,0
municipality,5223,,Mpofana,Yes,22050.18
municipality,5224,,Impendle,Do not know,31.35781
municipality,5224,,Impendle,No,14981.76
municipality,5224,,Impendle,Unspecified,0
municipality,5224,,Impendle,Yes,14512.6
municipality,5225,,The Msunduzi,Do not know,1941.911
municipality,5225,,The Msunduzi,No,561921.9
municipality,5225,,The Msunduzi,Unspecified,690.975
municipality,5225,,The Msunduzi,Yes,114484.4
municipality,5226,,Mkhambathini,Do not know,17.01593
municipality,5226,,Mkhambathini,No,51591.3
municipality,5226,,Mkhambathini,Unspecified,0
municipality,5226,,Mkhambathini,Yes,5466.935
