geo_level,geo_code,geo_version,name,value
subcounty,,,Ainabkoi,1324
subcounty,,,Ainamoi,880
subcounty,,,Aldai,108
subcounty,,,Alego Usonga,435
subcounty,,,Athi River,672
subcounty,,,Awendo,206
subcounty,,,Balambala,9
subcounty,,,Banissa,57
subcounty,,,Baringo Central,252
subcounty,,,Baringo North,51
subcounty,,,Belgut,67
subcounty,,,Bobasi,170
subcounty,,,Bomachoge Borabu,76
subcounty,,,Bomachoge Chache,205
subcounty,,,Bomet Central,225
subcounty,,,Bomet East,179
subcounty,,,Bonchari,131
subcounty,,,Bondo,418
subcounty,,,Borabu,216
subcounty,,,Bumula,143
subcounty,,,Bunyala,96
subcounty,,,Bura,38
subcounty,,,Bureti,515
subcounty,,,Butere,220
subcounty,,,Butula,85
subcounty,,,Buuri,179
subcounty,,,Changamwe,275
subcounty,,,Chepalungu,78
subcounty,,,Cheptais,98
subcounty,,,Cherangany,90
subcounty,,,Chesumei,202
subcounty,,,Chuka,254
subcounty,,,Dadaab,76
subcounty,,,Dagoretti North,563
subcounty,,,Dagoretti South,79
subcounty,,,East Pokot,58
subcounty,,,Eldas,0
subcounty,,,Embakasi Central,275
subcounty,,,Embakasi East,388
subcounty,,,Embakasi North,101
subcounty,,,Embakasi South,190
subcounty,,,Embakasi West,216
subcounty,,,Emgwen,244
subcounty,,,Emuhaya,59
subcounty,,,Endebess,44
subcounty,,,Fafi,161
subcounty,,,Galole,191
subcounty,,,Ganze,45
subcounty,,,Garbatulla,97
subcounty,,,Garissa,503
subcounty,,,Garsen,90
subcounty,,,Gatanga,65
subcounty,,,Gatundu North,108
subcounty,,,Gatundu South,275
subcounty,,,Gem,140
subcounty,,,Gilgil,502
subcounty,,,Githunguri,95
subcounty,,,Hamisi,173
subcounty,,,Homa Bay Town,462
subcounty,,,Hulugho,14
subcounty,,,Igambangombe,107
subcounty,,,Igembe Central,82
subcounty,,,Igembe North,66
subcounty,,,Igembe South,461
subcounty,,,Ijara,81
subcounty,,,Ikolomani,140
subcounty,,,Imenti Central,228
subcounty,,,Imenti North,422
subcounty,,,Imenti South,466
subcounty,,,Isiolo,571
subcounty,,,Jomvu,71
subcounty,,,Juja,130
subcounty,,,Kabete,207
subcounty,,,Kabondo Kasipul,185
subcounty,,,Kabuchai,203
subcounty,,,Kaiti,163
subcounty,,,Kajiado Central,257
subcounty,,,Kajiado East,371
subcounty,,,Kajiado North,372
subcounty,,,Kajiado West,81
subcounty,,,Kalama,22
subcounty,,,Kaloleni,218
subcounty,,,Kamukunji,1110
subcounty,,,Kandara,218
subcounty,,,Kanduyi,617
subcounty,,,Kangema,10
subcounty,,,Kangundo,190
subcounty,,,Kapseret,115
subcounty,,,Karachuonyo,362
subcounty,,,Kasarani,613
subcounty,,,Kathiani,205
subcounty,,,Keiyo North,257
subcounty,,,Keiyo South,121
subcounty,,,Kesses,307
subcounty,,,Khwisero,244
subcounty,,,Kiambaa,145
subcounty,,,Kiambu Town,486
subcounty,,,Kibish,15
subcounty,,,Kibra,1758
subcounty,,,Kibwezi East,150
subcounty,,,Kibwezi West,344
subcounty,,,Kieni East,109
subcounty,,,Kieni West,130
subcounty,,,Kigumo,34
subcounty,,,Kiharu,380
subcounty,,,Kikuyu,389
subcounty,,,Kilifi North,232
subcounty,,,Kilifi South,80
subcounty,,,Kilome,65
subcounty,,,Kimilili,234
subcounty,,,Kiminini,503
subcounty,,,Kinango,131
subcounty,,,Kinangop,236
subcounty,,,Kipipiri,71
subcounty,,,Kipkelion East,128
subcounty,,,Kipkelion West,143
subcounty,,,Kirinyaga Central,416
subcounty,,,Kirinyaga East,289
subcounty,,,Kirinyaga North/Mwea West,274
subcounty,,,Kirinyaga South,344
subcounty,,,Kirinyaga West,229
subcounty,,,Kisauni,85
subcounty,,,Kisumu Central,1284
subcounty,,,Kisumu East,313
subcounty,,,Kisumu West,331
subcounty,,,Kitui Central,437
subcounty,,,Kitui East,72
subcounty,,,Kitui Rural,58
subcounty,,,Kitui South,199
subcounty,,,Kitui West,150
subcounty,,,Kitutu Chache North,100
subcounty,,,Kitutu Chache South,1640
subcounty,,,Koibatek,256
subcounty,,,Konoin,119
subcounty,,,Kuresoi North,76
subcounty,,,Kuresoi South,96
subcounty,,,Kuria East,184
subcounty,,,Kuria West,461
subcounty,,,Kwanza,88
subcounty,,,Lafey,41
subcounty,,,Lagdera,20
subcounty,,,Laikipia East,347
subcounty,,,Laikipia North,60
subcounty,,,Laikipia West,417
subcounty,,,Laisamis,138
subcounty,,,Lamu East,0
subcounty,,,Lamu West,233
subcounty,,,Langata,951
subcounty,,,Lari,402
subcounty,,,Likoni,119
subcounty,,,Likuyani,177
subcounty,,,Limuru,411
subcounty,,,Loima,74
subcounty,,,Loitokitok,364
subcounty,,,Luanda,180
subcounty,,,Lugari,103
subcounty,,,Lunga Lunga,43
subcounty,,,Lurambi,671
subcounty,,,Machakos,913
subcounty,,,Magarini,124
subcounty,,,Makadara,228
subcounty,,,Makueni,375
subcounty,,,Malava,92
subcounty,,,Malindi,265
subcounty,,,Mandera East,548
subcounty,,,Mandera North,192
subcounty,,,Mandera South,164
subcounty,,,Mandera West,152
subcounty,,,Manga,170
subcounty,,,Manyatta,949
subcounty,,,Marakwet East,250
subcounty,,,Marakwet West,230
subcounty,,,Marigat,88
subcounty,,,Masaba North,105
subcounty,,,Masinga,130
subcounty,,,Matayos,440
subcounty,,,Mathare,875
subcounty,,,Mathioya,80
subcounty,,,Mathira East,357
subcounty,,,Mathira West,215
subcounty,,,Matuga,127
subcounty,,,Matungu,187
subcounty,,,Matungulu,94
subcounty,,,Mbeere North,137
subcounty,,,Mbeere South,208
subcounty,,,Mbita,189
subcounty,,,Mbooni,219
subcounty,,,Merti,26
subcounty,,,Mogotio,91
subcounty,,,Moiben,116
subcounty,,,Molo,112
subcounty,,,Mosop,126
subcounty,,,Moyale,312
subcounty,,,Msambweni,220
subcounty,,,Mt Elgon,94
subcounty,,,Muhoroni,189
subcounty,,,Mukurweini,177
subcounty,,,Mumias East,35
subcounty,,,Mumias West,141
subcounty,,,muranga south,210
subcounty,,,Muthambi,6
subcounty,,,Mvita,1098
subcounty,,,Mwala,63
subcounty,,,Mwatate,36
subcounty,,,Mwimbi,365
subcounty,,,Mwingi Central,387
subcounty,,,Mwingi North,113
subcounty,,,Mwingi West,156
subcounty,,,Naivasha,557
subcounty,,,Nakuru East,500
subcounty,,,Nakuru North,168
subcounty,,,Nakuru West,872
subcounty,,,Nambale,83
subcounty,,,Nandi Hills,93
subcounty,,,Narok East,40
subcounty,,,Narok North,311
subcounty,,,Narok South,89
subcounty,,,Narok West,161
subcounty,,,Navakholo,84
subcounty,,,Ndaragwa,48
subcounty,,,Ndhiwa,185
subcounty,,,Njoro,80
subcounty,,,North Horr,50
subcounty,,,Nyakach,450
subcounty,,,Nyali,191
subcounty,,,Nyamira,490
subcounty,,,Nyamira North,140
subcounty,,,Nyando,252
subcounty,,,Nyaribari Chache,259
subcounty,,,Nyaribari Masaba,91
subcounty,,,Nyatike,462
subcounty,,,Nyeri Central,664
subcounty,,,Nyeri South,469
subcounty,,,Oljoroorok,48
subcounty,,,Olkalou,185
subcounty,,,Pokot Central,64
subcounty,,,Pokot North,125
subcounty,,,Pokot South,177
subcounty,,,Rabai,52
subcounty,,,Rachuonyo South,246
subcounty,,,Rangwe,154
subcounty,,,Rarieda,188
subcounty,,,Rongai,101
subcounty,,,Rongo,289
subcounty,,,Roysambu,783
subcounty,,,Ruaraka,141
subcounty,,,Ruiru,243
subcounty,,,Runyenjes,411
subcounty,,,Sabatia,172
subcounty,,,Saboti,128
subcounty,,,Saku,139
subcounty,,,Samburu Central,244
subcounty,,,Samburu East,266
subcounty,,,Samburu North,80
subcounty,,,Samia,198
subcounty,,,Seme,137
subcounty,,,Shinyalu,370
subcounty,,,Sigowet/Soin,132
subcounty,,,Sirisia,66
subcounty,,,Sotik,244
subcounty,,,South Mugirango,436
subcounty,,,Soy,128
subcounty,,,Starehe,439
subcounty,,,Suba South,223
subcounty,,,Subukia,80
subcounty,,,Suna East,420
subcounty,,,Suna West,563
subcounty,,,Tarbaj,20
subcounty,,,Taita Taveta,111
subcounty,,,Teso North,170
subcounty,,,Teso South,242
subcounty,,,Tetu,54
subcounty,,,Tharaka North,35
subcounty,,,Tharaka South,249
subcounty,,,Thika Town,899
subcounty,,,Tiaty East,24
subcounty,,,Tigania East,211
subcounty,,,Tigania West,124
subcounty,,,Tinderet,66
subcounty,,,Tongaren,114
subcounty,,,Transmara East,76
subcounty,,,Transmara West,493
subcounty,,,Turbo,226
subcounty,,,Turkana Central,336
subcounty,,,Turkana East,69
subcounty,,,Turkana North,45
subcounty,,,Turkana South,157
subcounty,,,Turkana West,173
subcounty,,,Ugenya,89
subcounty,,,Ugunja,205
subcounty,,,Uriri,207
subcounty,,,Vihiga,290
subcounty,,,Voi,202
subcounty,,,Wajir East,432
subcounty,,,Wajir North,43
subcounty,,,Wajir South,51
subcounty,,,Wajir West,55
subcounty,,,Webuye East,99
subcounty,,,Webuye West,370
subcounty,,,West Pokot,191
subcounty,,,Westlands,794
subcounty,,,Wundanyi,94
subcounty,,,Yatta,174
county,30,,Baringo,820
county,36,,Bomet,845
county,39,,Bungoma,2038
county,40,,Busia,1314
county,28,,Elgeyo-Marakwet,858
county,14,,Embu,1705
county,7,,Garissa,864
county,43,,Homa Bay,2006
county,11,,Isiolo,694
county,34,,Kajiado,1445
county,37,,Kakamega,2464
county,35,,Kericho,1865
county,22,,Kiambu,3790
county,3,,Kilifi,1016
county,20,,Kirinyaga,1552
county,45,,Kisii,3108
county,42,,Kisumu,2956
county,15,,Kitui,1572
county,2,,Kwale,521
county,31,,Laikipia,824
county,5,,Lamu,233
county,16,,Machakos,2463
county,17,,Makueni,1316
county,9,,Mandera,1154
county,10,,Marsabit,639
county,12,,Meru,2239
county,44,,Migori,2792
county,1,,Mombasa,1839
county,21,,Muranga,997
county,47,,Nairobi,9504
county,32,,Nakuru,3144
county,29,,Nandi,839
county,33,,Narok,1170
county,46,,Nyamira,1121
county,18,,Nyandarua,588
county,19,,Nyeri,2175
county,25,,Samburu,590
county,41,,Siaya,1475
county,6,,Taita Taveta,443
county,4,,Tana River,319
county,13,,Tharaka Nithi,1016
county,26,,Trans Nzoia,853
county,23,,Turkana,869
county,27,,Uasin Gishu,2216
county,38,,Vihiga,874
county,8,,Wajir,601
county,24,,West Pokot,557
country,KE,,Kenya,74283
