geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,42,,Kisumu,Expenditure to Exchequer Issues       ,Recurrent,88.4
county,42,,Kisumu,Absorption rate ,Development,426.1
county,42,,Kisumu,Expenditure to Exchequer Issues       ,Recurrent,29.3
county,42,,Kisumu,Absorption rate ,Development,19.6
