geo_level,geo_code,geo_version,name,variable,number
municipality,3084,,Kheis,A municipality,14648.15
municipality,3084,,Kheis,A water vendor,66.21649
municipality,3084,,Kheis,Do not know,21.76684
municipality,3084,,Kheis,Flowing water/stream/river/spring/rain water,626.735
municipality,3084,,Kheis,Other water scheme (e.g. community water supply),240.2961
municipality,3084,,Kheis,Own service (e.g. private borehole; own source on a farm; et,962.7309
municipality,3084,,Kheis,Unspecified,0
municipality,5263,,Abaqulusi,A municipality,152669.1
municipality,5263,,Abaqulusi,A water vendor,2167.746
municipality,5263,,Abaqulusi,Do not know,3833.025
municipality,5263,,Abaqulusi,Flowing water/stream/river/spring/rain water,35473.43
municipality,5263,,Abaqulusi,Other water scheme (e.g. community water supply),31198.94
municipality,5263,,Abaqulusi,Own service (e.g. private borehole; own source on a farm; et,18452.43
municipality,5263,,Abaqulusi,Unspecified,0
municipality,5238,,Alfred Duma,A municipality,274622.2
municipality,5238,,Alfred Duma,A water vendor,5391.239
municipality,5238,,Alfred Duma,Do not know,2959.069
municipality,5238,,Alfred Duma,Flowing water/stream/river/spring/rain water,27865.4
municipality,5238,,Alfred Duma,Other water scheme (e.g. community water supply),24404.87
municipality,5238,,Alfred Duma,Own service (e.g. private borehole; own source on a farm; et,21031.7
municipality,5238,,Alfred Duma,Unspecified,0
district,244,,Alfred Nzo,A municipality,266732.3
district,244,,Alfred Nzo,A water vendor,11922.67
district,244,,Alfred Nzo,Do not know,4174.641
district,244,,Alfred Nzo,Flowing water/stream/river/spring/rain water,479418.4
district,244,,Alfred Nzo,Other water scheme (e.g. community water supply),74676.72
district,244,,Alfred Nzo,Own service (e.g. private borehole; own source on a farm; et,30862.6
district,244,,Alfred Nzo,Unspecified,76.65897
municipality,2124,,Amahlathi,A municipality,86170.17
municipality,2124,,Amahlathi,A water vendor,970.141
municipality,2124,,Amahlathi,Do not know,1282.674
municipality,2124,,Amahlathi,Flowing water/stream/river/spring/rain water,6581.671
municipality,2124,,Amahlathi,Other water scheme (e.g. community water supply),3562.292
municipality,2124,,Amahlathi,Own service (e.g. private borehole; own source on a farm; et,3247.071
municipality,2124,,Amahlathi,Unspecified,11.52438
district,525,,Amajuba,A municipality,446448.8
