geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,42,,Kisumu,Development Expenditure,Budget,"4,499.60"
county,42,,Kisumu,Development Expenditure,Exchequer Issues,118.65
county,42,,Kisumu,Development Expenditure,Expenditure,284.61
county,42,,Kisumu,Recurrent Expenditure,Budget,"7,305.96"
county,42,,Kisumu,Recurrent Expenditure,Exchequer Issues,"3,012.32"
county,42,,Kisumu,Recurrent Expenditure,Expenditure,"3,112.55"
county,47,,Nairobi,Development Expenditure,Budget,"11,271.26"
county,47,,Nairobi,Development Expenditure,Expenditure,625.84
county,47,,Nairobi,Recurrent Expenditure,Budget,"25,710.13"
county,47,,Nairobi,Recurrent Expenditure,Expenditure,"10,474.95"
