geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,42,,Kisumu,Water resources & sewerage services,Approved Budget,245.07
county,42,,Kisumu,Water resources & sewerage services,Actual Payments,19.22
county,42,,Kisumu,Water resources & sewerage services,Variance,225.85
