geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Administration,Approved Budget,659.66
county,1,,Mombasa,Administration,Actual Payments,281.78
county,1,,Mombasa,Administration,Variance,377.88
county,1,,Mombasa,Devolution and public service administration,Approved Budget,124.36
county,1,,Mombasa,Devolution and public service administration,Actual Payments,60.25
county,1,,Mombasa,Devolution and public service administration,Variance,64.11
county,1,,Mombasa,Public Service Reforms and Delivery,Approved Budget,181.05
county,1,,Mombasa,Public Service Reforms and Delivery,Actual Payments,1.00
county,1,,Mombasa,Public Service Reforms and Delivery,Variance,180.05
county,1,,Mombasa,Compliance and Enforcement,Approved Budget,29.43
county,1,,Mombasa,Compliance and Enforcement,Actual Payments,0.00
county,1,,Mombasa,Compliance and Enforcement,Variance,29.43
county,1,,Mombasa,County Administration and decentralized services,Approved Budget,121.48
county,1,,Mombasa,County Administration and decentralized services,Actual Payments,0.00
county,1,,Mombasa,County Administration and decentralized services,Variance,121.48
