geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Development Expenditure,Budget,4939.80
county,1,,Mombasa,Development Expenditure,Expenditure,574.72
county,47,,Nairobi,Development Expenditure,Budget,11271.26
county,47,,Nairobi,Development Expenditure,Expenditure,625.84
county,17,,Makueni ,Development expenditure,Budget,4667.13
county,17,,Makueni ,Development expenditure,Exchequer Issues,946.23
county,17,,Makueni ,Development expenditure,Expenditure,620.10
county,42,,Kisumu,Development expenditure,Budget,4499.60
county,42,,Kisumu,Development expenditure,Exchequer Issues,118.65
county,42,,Kisumu,Development expenditure,Expenditure,284.61
