geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,47,,Nairobi,General Administration Planning and Support Services,Approved Budget,297.66
county,47,,Nairobi,General Administration Planning and Support Services,Actual Payments,79.94
county,47,,Nairobi,General Administration Planning and Support Services,Variance,217.72
county,47,,Nairobi,Public Service Transformation,Approved Budget,74.79
county,47,,Nairobi,Public Service Transformation,Actual Payments,20.04
county,47,,Nairobi,Public Service Transformation,Variance,105.15
county,47,,Nairobi,Performance Management and Public Service Delivery,Approved Budget,44.00
county,47,,Nairobi,Performance Management and Public Service Delivery,Actual Payments,2.64
county,47,,Nairobi,Performance Management and Public Service Delivery,Variance,41.36
