geo_level,geo_code,geo_version,name,variable,number
municipality,3084,,Kheis,Do not know,622.7095
municipality,3084,,Kheis,No,1175.851
municipality,3084,,Kheis,Unspecified,47.43025
municipality,3084,,Kheis,Yes,14719.9
municipality,5263,,Abaqulusi,Do not know,7424.073
municipality,5263,,Abaqulusi,No,72586.71
municipality,5263,,Abaqulusi,Unspecified,467.7159
municipality,5263,,Abaqulusi,Yes,163316.1
municipality,5238,,Alfred Duma,Do not know,1217.764
municipality,5238,,Alfred Duma,No,90372.12
municipality,5238,,Alfred Duma,Unspecified,663.934
municipality,5238,,Alfred Duma,Yes,264020.7
district,244,,Alfred Nzo,Do not know,7885.46
district,244,,Alfred Nzo,No,477894
district,244,,Alfred Nzo,Unspecified,1397.329
district,244,,Alfred Nzo,Yes,380687.2
municipality,2124,,Amahlathi,Do not know,439.9932
municipality,2124,,Amahlathi,No,9885.954
municipality,2124,,Amahlathi,Unspecified,379.5179
municipality,2124,,Amahlathi,Yes,91120.08
district,525,,Amajuba,Do not know,2882.978
district,525,,Amajuba,No,73404.68
district,525,,Amajuba,Unspecified,774.708
district,525,,Amajuba,Yes,454264.4
district,212,,Amathole,Do not know,8914.083
district,212,,Amathole,No,235495
district,212,,Amathole,Unspecified,3302.046
district,212,,Amathole,Yes,633079.2
municipality,9334,,Ba-Phalaborwa,Do not know,750.9616
municipality,9334,,Ba-Phalaborwa,No,16068.76
municipality,9334,,Ba-Phalaborwa,Unspecified,348.146
municipality,9334,,Ba-Phalaborwa,Yes,151768.8
municipality,1053,,Beaufort West,Do not know,769.2763
municipality,1053,,Beaufort West,No,4520.611
municipality,1053,,Beaufort West,Unspecified,156.3576
municipality,1053,,Beaufort West,Yes,45633.74
municipality,9366,,Bela-Bela,Do not know,28.51124
municipality,9366,,Bela-Bela,No,9292.576
municipality,9366,,Bela-Bela,Unspecified,0
municipality,9366,,Bela-Bela,Yes,66974.99
municipality,1013,,Bergrivier,Do not know,246.0221
municipality,1013,,Bergrivier,No,4112.387
municipality,1013,,Bergrivier,Unspecified,318.2911
municipality,1013,,Bergrivier,Yes,62797.13
municipality,5276,,Big Five Hlabisa,Do not know,6311.808
municipality,5276,,Big Five Hlabisa,No,46649.45
municipality,5276,,Big Five Hlabisa,Unspecified,700.0354
municipality,5276,,Big Five Hlabisa,Yes,62960.39
municipality,1047,,Bitou,Do not know,173.745
municipality,1047,,Bitou,No,2382.019
municipality,1047,,Bitou,Unspecified,55.85839
municipality,1047,,Bitou,Yes,56545.56
municipality,9351,,Blouberg,Do not know,4724.985
municipality,9351,,Blouberg,No,44260.75
municipality,9351,,Blouberg,Unspecified,1046.945
municipality,9351,,Blouberg,Yes,122568.7
municipality,2102,,Blue Crane Route,Do not know,172.9791
municipality,2102,,Blue Crane Route,No,3067.613
municipality,2102,,Blue Crane Route,Unspecified,0
municipality,2102,,Blue Crane Route,Yes,32822.67
district,637,,Bojanala,Do not know,20045
district,637,,Bojanala,No,427994.5
district,637,,Bojanala,Unspecified,3098.213
district,637,,Bojanala,Yes,1206010
municipality,1025,,Breede Valley,Do not know,116.3163
municipality,1025,,Breede Valley,No,18283.62
municipality,1025,,Breede Valley,Unspecified,916.1439
municipality,1025,,Breede Valley,Yes,157262.3
municipality,292,,Buffalo City,Do not know,5107.698
municipality,2920,,Buffalo City,Do not know,5107.698
municipality,292,,Buffalo City,Do not know,5107.698
municipality,2920,,Buffalo City,Do not know,5107.698
municipality,292,,Buffalo City,No,63766.75
municipality,2920,,Buffalo City,No,63766.75
municipality,292,,Buffalo City,No,63766.75
municipality,2920,,Buffalo City,No,63766.75
municipality,292,,Buffalo City,Unspecified,1732.531
municipality,2920,,Buffalo City,Unspecified,1732.531
municipality,292,,Buffalo City,Unspecified,1732.531
municipality,2920,,Buffalo City,Unspecified,1732.531
municipality,292,,Buffalo City,Yes,764390.2
municipality,2920,,Buffalo City,Yes,764390.2
municipality,292,,Buffalo City,Yes,764390.2
municipality,2920,,Buffalo City,Yes,764390.2
municipality,8325,,Bushbuckridge,Do not know,14508.86
municipality,8325,,Bushbuckridge,No,112325.2
municipality,8325,,Bushbuckridge,Unspecified,628.9567
municipality,8325,,Bushbuckridge,Yes,418752.4
district,210,,Cacadu,Do not know,2223.306
district,210,,Cacadu,No,70231.79
district,210,,Cacadu,Unspecified,376.4876
district,210,,Cacadu,Yes,407091.3
municipality,1033,,Cape Agulhas,Do not know,48.18172
municipality,1033,,Cape Agulhas,No,1815.234
municipality,1033,,Cape Agulhas,Unspecified,90.29107
municipality,1033,,Cape Agulhas,Yes,34046.22
district,102,,Cape Winelands,Do not know,2694.14
district,102,,Cape Winelands,No,72467.03
district,102,,Cape Winelands,Unspecified,1795.483
district,102,,Cape Winelands,Yes,789044.1
district,935,,Capricorn,Do not know,16570.32
district,935,,Capricorn,No,259687.5
district,935,,Capricorn,Unspecified,4729.426
district,935,,Capricorn,Yes,1049449
municipality,1012,,Cederberg,Do not know,99.68712
municipality,1012,,Cederberg,No,3325.403
municipality,1012,,Cederberg,Unspecified,19.26529
municipality,1012,,Cederberg,Yes,49504.76
district,105,,Central Karoo,Do not know,769.2763
district,105,,Central Karoo,No,5512.8
district,105,,Central Karoo,Unspecified,156.3576
district,105,,Central Karoo,Yes,67808.8
municipality,8301,,Chief Albert Luthuli,Do not know,1850.737
municipality,8301,,Chief Albert Luthuli,No,70891.09
municipality,8301,,Chief Albert Luthuli,Unspecified,755.2428
municipality,8301,,Chief Albert Luthuli,Yes,114132.4
district,213,,Chris Hani,Do not know,8619.56
district,213,,Chris Hani,No,203714.7
district,213,,Chris Hani,Unspecified,1878.365
district,213,,Chris Hani,Yes,625842
municipality,191,,City of Cape Town,Do not know,9778.748
municipality,1910,,City of Cape Town,Do not know,9778.748
municipality,191,,City of Cape Town,Do not know,9778.748
municipality,1910,,City of Cape Town,Do not know,9778.748
municipality,191,,City of Cape Town,No,210649.2
municipality,1910,,City of Cape Town,No,210649.2
municipality,191,,City of Cape Town,No,210649.2
municipality,1910,,City of Cape Town,No,210649.2
municipality,191,,City of Cape Town,Unspecified,12107.62
municipality,1910,,City of Cape Town,Unspecified,12107.62
municipality,191,,City of Cape Town,Unspecified,12107.62
municipality,1910,,City of Cape Town,Unspecified,12107.62
municipality,191,,City of Cape Town,Yes,3772480
municipality,1910,,City of Cape Town,Yes,3772480
municipality,191,,City of Cape Town,Yes,3772480
municipality,1910,,City of Cape Town,Yes,3772480
municipality,798,,City of Johannesburg,Do not know,15734.03
municipality,7980,,City of Johannesburg,Do not know,15734.03
municipality,798,,City of Johannesburg,Do not know,15734.03
municipality,7980,,City of Johannesburg,Do not know,15734.03
municipality,798,,City of Johannesburg,No,252762.8
municipality,7980,,City of Johannesburg,No,252762.8
municipality,798,,City of Johannesburg,No,252762.8
municipality,7980,,City of Johannesburg,No,252762.8
municipality,798,,City of Johannesburg,Unspecified,14615.89
municipality,7980,,City of Johannesburg,Unspecified,14615.89
municipality,798,,City of Johannesburg,Unspecified,14615.89
municipality,7980,,City of Johannesburg,Unspecified,14615.89
municipality,798,,City of Johannesburg,Yes,4666234
municipality,7980,,City of Johannesburg,Yes,4666234
municipality,798,,City of Johannesburg,Yes,4666234
municipality,7980,,City of Johannesburg,Yes,4666234
municipality,6403,,City of Matlosana,Do not know,2600.389
municipality,6403,,City of Matlosana,No,57972.43
municipality,6403,,City of Matlosana,Unspecified,452.034
municipality,6403,,City of Matlosana,Yes,356257.3
municipality,8326,,City of Mbombela,Do not know,8260.068
municipality,8326,,City of Mbombela,No,133919.7
municipality,8326,,City of Mbombela,Unspecified,1436.755
municipality,8326,,City of Mbombela,Yes,552296.5
municipality,799,,City of Tshwane,Do not know,18139.97
