geo_level,geo_code,geo_level,name,variable_1,variable_2,value
county,47,,Nairobi,Budget Allocation,Recurrent,1141
county,47,,Nairobi,Budget Allocation,Development,3638
county,47,,Nairobi,Exchequer Issues,Recurrent,391
county,47,,Nairobi,Exchequer Issues,Development,31
county,47,,Nairobi, Expenditure,Development,31
county,47,,Nairobi, Expenditure,Recurrent,391
