geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,1,,Mombasa,Administration Unit,Approved Budget,186.31
county,1,,Mombasa,Administration Unit,Actual Payments,35.58
county,1,,Mombasa,Administration Unit,Variance,150.74
county,1,,Mombasa,Youth Empowerment,Approved Budget,101.75
county,1,,Mombasa,Youth Empowerment,Actual Payments,0.00
county,1,,Mombasa,Youth Empowerment,Variance,101.75
county,1,,Mombasa,Gender Affairs and Disability Mainstreaming,Approved Budget,44.00
county,1,,Mombasa,Gender Affairs and Disability Mainstreaming,Actual Payments,0.00
county,1,,Mombasa,Gender Affairs and Disability Mainstreaming,Variance,44.00
county,1,,Mombasa,Sports development,Approved Budget,206.91
county,1,,Mombasa,Sports development,Actual Payments,0.00
county,1,,Mombasa,Sports development,Variance,206.91
county,1,,Mombasa,Cultural Affairs,Approved Budget,66.89
county,1,,Mombasa,Cultural Affairs,Actual Payments,0.00
county,1,,Mombasa,Cultural Affairs,Variance,66.89
county,1,,Mombasa,Public Recreation and Entertainment,Approved Budget,40.00
county,1,,Mombasa,Public Recreation and Entertainment,Actual Payments,0.00
county,1,,Mombasa,Public Recreation and Entertainment,Variance,40.00
