geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,17,,Makueni,General administration & planning,Revised Budget Estimates FY 2019/20,48.95
county,17,,Makueni,General administration & planning,Cumulative Expenditure    First Half FY 2019/20,15.91
county,17,,Makueni,Land Survey & Mapping,Revised Budget Estimates FY 2019/20,42.00
county,17,,Makueni,Land Survey & Mapping,Cumulative Expenditure    First Half FY 2019/20,0.60
county,17,,Makueni,Urban planning,Revised Budget Estimates FY 2019/20,256.40
county,17,,Makueni,Urban planning,Cumulative Expenditure    First Half FY 2019/20,40.51
county,17,,Makueni,Mining mapping & development,Revised Budget Estimates FY 2019/20,1.92
county,17,,Makueni,Mining mapping & development,Cumulative Expenditure    First Half FY 2019/20,0.34
