geo_level,geo_code,geo_version,name,variable,value,
district,244,,Alfred Nzo,Occupational therapists,0.5,
district,525,,Amajuba,Occupational therapists,2.4,
district,212,,Amathole,Occupational therapists,1.8,
district,637,,Bojanala,Occupational therapists,1.2,
district,292,,Buffalo City,Occupational therapists,3.1,
district,210,,Sarah Baartman,Occupational therapists,4.5,
district,102,,Cape Winelands,Occupational therapists,1.7,
district,935,,Capricorn,Occupational therapists,5.3,
district,105,,Central Karoo,Occupational therapists,1.5,
district,213,,Chris Hani,Occupational therapists,2.2,
district,1910,,City of Cape Town,Occupational therapists,3.8,
district,798,,City of Johannesburg,Occupational therapists,2.2,
district,799,,City of Tshwane,Occupational therapists,3.9,
district,640,,Dr Kenneth Kaunda,Occupational therapists,4,
district,639,,Dr Ruth Segomotsi Mompati,Occupational therapists,1.8,
province,EC,,Eastern Cape,Occupational therapists,2.3,
district,104,,Garden Route,Occupational therapists,1.7,
district,832,,Ehlanzeni,Occupational therapists,2.9,
district,797,,Ekurhuleni,Occupational therapists,2.1,
district,595,,eThekwini,Occupational therapists,1.6,
district,420,,Fezile Dabi,Occupational therapists,2.3,
district,309,,Frances Baard,Occupational therapists,9.3,
province,FS,,Free State,Occupational therapists,3.2,
province,GT,,Gauteng,Occupational therapists,2.7,
district,830,,Gert Sibande,Occupational therapists,2.4,
district,529,,iLembe,Occupational therapists,1.4,
district,214,,Joe Gqabi,Occupational therapists,2.2,
district,345,,John Taolo Gaetsewe,Occupational therapists,1.9,
province,KZN,,KwaZulu-Natal,Occupational therapists,1.8,
district,418,,Lejweleputswa,Occupational therapists,2,
province,LIM,,Limpopo,Occupational therapists,4.1,
district,4940,,Mangaung,Occupational therapists,5.6,
district,933,,Mopani,Occupational therapists,3.5,
province,MP,,Mpumalanga,Occupational therapists,2.4,
district,306,,Namakwa,Occupational therapists,7.5,
district,2930,,Nelson Mandela Bay,Occupational therapists,3.6,
district,638,,Ngaka Modiri Molema,Occupational therapists,1.6,
district,831,,Nkangala,Occupational therapists,1.7,
province,NW,,North West,Occupational therapists,1.9,
province,NC,,Northern Cape,Occupational therapists,5.4,
district,215,,O.R.Tambo,Occupational therapists,1.5,
district,103,,Overberg,Occupational therapists,1.2,
district,307,,Pixley ka Seme,Occupational therapists,3.3,
district,742,,Sedibeng,Occupational therapists,2.8,
district,947,,Sekhukhune,Occupational therapists,2.8,
district,543,,Harry Gwala,Occupational therapists,2,
country,ZA,,South Africa,Occupational therapists,2.6,
district,419,,Thabo Mofutsanyane,Occupational therapists,1.7,
district,521,,Ugu,Occupational therapists,1.4,
district,522,,Umgungundlovu,Occupational therapists,3.9,
district,527,,Umkhanyakude,Occupational therapists,2.7,
district,524,,Umzinyathi,Occupational therapists,1.5,
district,523,,Uthukela,Occupational therapists,1.3,
district,528,,King Cetshwayo,Occupational therapists,1.2,
district,934,,Vhembe,Occupational therapists,4.4,
district,936,,Waterberg,Occupational therapists,4.5,
district,101,,West Coast,Occupational therapists,1.5,
district,748,,West Rand,Occupational therapists,3.1,
province,WC,,Western Cape,Occupational therapists,2.9,
district,416,,Xhariep,Occupational therapists,5,
district,308,,Z F Mgcawu,Occupational therapists,4,
district,526,,Zululand,Occupational therapists,0.9,
district,244,,Alfred Nzo,Pharmacists,4.1,
district,525,,Amajuba,Pharmacists,9,
district,212,,Amathole,Pharmacists,8.3,
district,637,,Bojanala,Pharmacists,5.8,
district,292,,Buffalo City,Pharmacists,21,
district,210,,Sarah Baartman,Pharmacists,20.6,
district,102,,Cape Winelands,Pharmacists,13.7,
district,935,,Capricorn,Pharmacists,14.5,
district,105,,Central Karoo,Pharmacists,28,
district,213,,Chris Hani,Pharmacists,9,
