geo_level,geo_code,geo_version,name,Age,Total
county,14,,Embu,90-94,1654
county,14,,Embu,95-99,868
county,14,,Embu,100+,477
county,14,,Embu,Not Stated,7
county,7,,Garissa,0-4,111616
county,7,,Garissa,5-9,135216
county,7,,Garissa,10-14,136663
county,7,,Garissa,15-19,118095
county,7,,Garissa,20-24,85073
county,7,,Garissa,25-29,63268
county,7,,Garissa,30-34,52509
county,7,,Garissa,35-39,36682
county,7,,Garissa,40-44,32373
county,7,,Garissa,45-49,19282
county,7,,Garissa,50-54,17392
county,7,,Garissa,55-59,9343
county,7,,Garissa,60-64,9420
county,7,,Garissa,65-69,4797
county,7,,Garissa,70-74,4599
county,7,,Garissa,75-79,1708
county,7,,Garissa,80-84,1980
county,7,,Garissa,85-89,584
county,7,,Garissa,90-94,470
county,7,,Garissa,95-99,154
county,7,,Garissa,100+,90
county,7,,Garissa,Not Stated,5
county,43,,Homa Bay,0-4,155694
county,43,,Homa Bay,5-9,166961
county,43,,Homa Bay,10-14,181334
county,43,,Homa Bay,15-19,136787
county,43,,Homa Bay,20-24,95992
county,43,,Homa Bay,25-29,75504
county,43,,Homa Bay,30-34,74303
county,43,,Homa Bay,35-39,49941
county,43,,Homa Bay,40-44,43999
county,43,,Homa Bay,45-49,32152
county,43,,Homa Bay,50-54,23576
county,43,,Homa Bay,55-59,24500
county,43,,Homa Bay,60-64,21795
county,43,,Homa Bay,65-69,17352
county,43,,Homa Bay,70-74,14234
county,43,,Homa Bay,75-79,7394
county,43,,Homa Bay,80-84,5556
county,43,,Homa Bay,85-89,3124
county,43,,Homa Bay,90-94,1049
county,43,,Homa Bay,95-99,481
county,43,,Homa Bay,100+,190
county,43,,Homa Bay,Not Stated,9
county,11,,Isiolo,0-4,40617
county,11,,Isiolo,5-9,41145
county,11,,Isiolo,10-14,38914
county,11,,Isiolo,15-19,31154
county,11,,Isiolo,20-24,24723
county,11,,Isiolo,25-29,20476
county,11,,Isiolo,30-34,18550
county,11,,Isiolo,35-39,12687
county,11,,Isiolo,40-44,9781
county,11,,Isiolo,45-49,7123
county,11,,Isiolo,50-54,5478
county,11,,Isiolo,55-59,4830
county,11,,Isiolo,60-64,4401
county,11,,Isiolo,65-69,2611
