geo_level,geo_code,name,variable,total
subcounty,,Balambala,Balambala,32257
subcounty,,Banisa,Banisa,152598
subcounty,,Baringo Central,Baringo Central,96951
subcounty,,Baringo North,Baringo North,104871
subcounty,,Belgut,Belgut,145072
subcounty,,Bomet Central,Bomet Central,175215
subcounty,,Bomet East,Bomet East,144275
subcounty,,Bondo,Bondo,197883
subcounty,,Borabu,Borabu,73167
subcounty,,Bumula,Bumula,215892
subcounty,,Buna,Buna,49886
subcounty,,Bungoma Central,Bungoma Central,177748
subcounty,,Bungoma East,Bungoma East,114548
subcounty,,Bungoma North,Bungoma North,121317
subcounty,,Bungoma South,Bungoma South,287765
subcounty,,Bungoma West,Bungoma West,119875
subcounty,,Bunyala,Bunyala,85977
subcounty,,Bureti,Bureti,199470
subcounty,,Busia,Busia,142408
subcounty,,Butere,Butere,154100
subcounty,,Butula,Butula,140334
subcounty,,Buuri East,Buuri East,76598
subcounty,,Buuri West,Buuri West,80762
subcounty,,Changamwe,Changamwe,131882
subcounty,,Chepalungu,Chepalungu,164837
subcounty,,Cheptais,Cheptais,136035
subcounty,,Chesumei,Chesumei,164133
subcounty,,Chonyi,Chonyi,62335
subcounty,,Dadaab,Dadaab,185252
subcounty,,Dagoretti,Dagoretti,434208
subcounty,,East Pokot,East Pokot,79923
subcounty,,Eldas,Eldas,88509
subcounty,,Embakasi,Embakasi,988808
subcounty,,Embu East,Embu East,129564
subcounty,,Embu North,Embu North,79556
subcounty,,Embu West,Embu West,127100
subcounty,,Emuhaya,Emuhaya,97141
subcounty,,Endebess,Endebess,111782
subcounty,,Etago,Etago,83787
subcounty,,Fafi,Fafi,134040
subcounty,,Ganze,Ganze,143906
subcounty,,Garbatulla,Garbatulla,99730
subcounty,,Garissa,Garissa,163914
subcounty,,Gatanga,Gatanga,187989
subcounty,,Gatundu North,Gatundu North,109870
subcounty,,Gatundu South,Gatundu South,122103
subcounty,,Gem,Gem,179792
subcounty,,Gilgil,Gilgil,185209
subcounty,,Githunguri,Githunguri,165232
subcounty,,Gucha,Gucha,83740
subcounty,,Gucha South,Gucha South,83623
subcounty,,Habaswein,Habaswein,174134
subcounty,,Hamisi,Hamisi,159241
subcounty,,Homa Bay,Homa Bay,117439
subcounty,,Hulugho,Hulugho,133984
subcounty,,Igam bang'ombe,Igam bang'ombe,53210
subcounty,,Igem be Central,Igem be Central,221412
subcounty,,Igembe North,Igembe North,169317
subcounty,,Igembe South,Igembe South,161646
subcounty,,Ijara,Ijara,141591
subcounty,,Ikutha,Ikutha,82964
subcounty,,Imenti North,Imenti North,177567
subcounty,,Imenti South,Imenti South,206506
subcounty,,Isinya,Isinya,210473
subcounty,,Isiolo,Isiolo,121066
subcounty,,Jomvu,Jomvu,163415
subcounty,,Juja,Juja,300948
subcounty,,Kabete,Kabete,199653
subcounty,,Kahuro,Kahuro,88193
subcounty,,Kajiado Central,Kajiado Central,161862
subcounty,,Kajiado North,Kajiado North,306596
subcounty,,Kajiado West,Kajiado West,182849
subcounty,,Kakamega Central,Kakamega Central,188212
subcounty,,Kakamega East,Kakamega East,167641
subcounty,,Kakamega Forest,Kakamega Forest,17
subcounty,,Kakamega North,Kakamega North,238330
subcounty,,Kakamega South,Kakamega South,111743
subcounty,,Kalama,Kalama,54462
subcounty,,Kaloleni,Kaloleni,193682
subcounty,,Kamukunji,Kamukunji,268276
subcounty,,Kandara,Kandara,175098
subcounty,,Kangema,Kangema,80447
subcounty,,Kangundo,Kangundo,97917
subcounty,,Kapseret,Kapseret,198499
subcounty,,Kasarani,Kasarani,780656
subcounty,,Kathiani,Kathiani,111890
subcounty,,Kathonzweni,Kathonzweni,79780
subcounty,,Katulani,Katulani,47108
subcounty,,Kauma,Kauma,22638
subcounty,,Keiyo North,Keiyo North,99176
subcounty,,Keiyo South,Keiyo South,120750
subcounty,,Kenyenya,Kenyenya,131740
subcounty,,Kericho East,Kericho East,170625
subcounty,,Kesses,Kesses,148798
subcounty,,Khwisero,Khwisero,113476
subcounty,,Kiambaa,Kiambaa,236400
subcounty,,Kiambu,Kiambu,145903
subcounty,,Kibish,Kibish,36769
subcounty,,Kibra,Kibra,185777
subcounty,,Kibwezi,Kibwezi,197000
