geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,17,,Makueni,General administration & planning,Revised Budget Estimates,271.30
county,17,,Makueni,General administration & planning,Cumulative Expenditure,119.38
county,17,,Makueni,Early childhood education,Revised Budget Estimates,138.24
county,17,,Makueni,Early childhood education,Cumulative Expenditure,18.61
county,17,,Makueni,Technical training & non formal education,Revised Budget Estimates,124.95
county,17,,Makueni,Technical training & non formal education,Cumulative Expenditure,12.59
county,17,,Makueni,Support to education,Revised Budget Estimates,59.49
county,17,,Makueni,Support to education,Cumulative Expenditure,49.44
county,17,,Makueni,ICT Infrastructure & Systems Development,Revised Budget Estimates,38.17
county,17,,Makueni,ICT Infrastructure & Systems Development,Cumulative Expenditure,0.94
county,17,,Makueni,Youth Development,Revised Budget Estimates,3.44
county,17,,Makueni,Youth Development,Cumulative Expenditure,0.77
county,17,,Makueni,Sports Development,Revised Budget Estimates,104.32
county,17,,Makueni,Sports Development,Cumulative Expenditure,15.15
