geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,47,,Nairobi,Public Financial Management,Approved Budget,1035.42
county,47,,Nairobi,Public Financial Management,Actual Payments,110.98
county,47,,Nairobi,Public Financial Management,Variance,1133.29
county,47,,Nairobi,General Administrative Services,Approved Budget,916.31
county,47,,Nairobi,General Administrative Services,Actual Payments,388.00
county,47,,Nairobi,General Administrative Services,Variance,528.31
county,47,,Nairobi,Economic and Financial Policy Formulation and Management,Approved Budget,319.45
county,47,,Nairobi,Economic and Financial Policy Formulation and Management,Actual Payments,17.42
county,47,,Nairobi,Economic and Financial Policy Formulation and Management,Variance,302.03
