geo_level,geo_code,name,population_sex_2019,total
subcounty,,Kimilili-Bungoma,Female,83475
subcounty,,Kiminini,Female,124730
subcounty,,Kinango,Female,48806
subcounty,,Kinangop,Female,56679
subcounty,,Kipipiri,Female,47740
subcounty,,Kipkelion,Female,61460
subcounty,,Kipkomo,Female,51703
subcounty,,Kirinyaga Central,Female,62617
subcounty,,Kirinyaga East,Female,68514
subcounty,,Kirinyaga West,Female,58502
subcounty,,Kisasi,Female,23496
subcounty,,Kisauni,Female,145176
subcounty,,Kisii Central,Female,85573
subcounty,,Kisii South,Female,70615
subcounty,,Kisumu Central,Female,89985
subcounty,,Kisumu East,Female,112689
subcounty,,Kisumu West,Female,87121
subcounty,,Kitui Central,Female,53863
subcounty,,Kitui West,Female,36983
subcounty,,Kitutu Central,Female,79561
subcounty,,Koibatek,Female,64238
subcounty,,Konoin,Female,80384
subcounty,,Kuresoi North,Female,87599
subcounty,,Kuresoi South,Female,77117
subcounty,,Kuria East,Female,49894
subcounty,,Kuria West,Female,107417
subcounty,,Kutulo,Female,36593
subcounty,,Kwanza,Female,103584
subcounty,,Kyuso,Female,40077
subcounty,,Lafey,Female,42976
subcounty,,Lagdera,Female,25291
subcounty,,Laikipia Central,Female,47705
subcounty,,Laikipia East,Female,50732
subcounty,,Laikipia North,Female,18116
subcounty,,Laikipia West,Female,64102
subcounty,,Lamu East,Female,10583
subcounty,,Lamu West,Female,57230
subcounty,,Lang'ata,Female,100774
subcounty,,Lari,Female,68238
subcounty,,Likoni,Female,123392
subcounty,,Likuyani,Female,78341
subcounty,,Limuru,Female,79682
subcounty,,Loima,Female,53453
subcounty,,Loitokitok,Female,97225
subcounty,,Loiyangalani,Female,18051
subcounty,,Londiani,Female,69000
subcounty,,Lower Yatta,Female,31628
subcounty,,Luanda,Female,55165
subcounty,,Lugari,Female,63593
subcounty,,Lungalunga,Female,101245
subcounty,,Maara,Female,57205
subcounty,,Machakos,Female,85114
subcounty,,Magarini,Female,98308
subcounty,,Makadara,Female,93157
subcounty,,Makindu,Female,42742
subcounty,,Makueni,Female,64955
subcounty,,Malindi,Female,169866
subcounty,,Mandera Central,Female,85527
subcounty,,Mandera East,Female,76095
subcounty,,Mandera North,Female,66835
subcounty,,Mandera West,Female,50130
subcounty,,Manga,Female,49339
subcounty,,Marakwet East,Female,49190
subcounty,,Marakwet West,Female,68560
subcounty,,Marani,Female,56864
subcounty,,Marigat,Female,45246
subcounty,,Mars abit Central,Female,38214
subcounty,,Marsabit North,Female,24205
subcounty,,Marsabit South,Female,32161
subcounty,,Mas aba South,Female,64248
subcounty,,Mas huuru,Female,31131
subcounty,,Masaba North,Female,58974
subcounty,,Masinga,Female,75001
subcounty,,Matete,Female,34423
subcounty,,Mathare,Female,100028
subcounty,,Mathioya,Female,47359
subcounty,,Mathira East,Female,50992
subcounty,,Mathira West,Female,30412
subcounty,,Matinyani,Female,24448
subcounty,,Matuga,Female,98419
subcounty,,Matungu,Female,88143
subcounty,,Matungulu,Female,80407
subcounty,,Mau Forest,Female,4
subcounty,,Mbeere North,Female,55360
subcounty,,Mbeere South,Female,80159
subcounty,,Mbooni East,Female,49601
subcounty,,Mbooni West,Female,53159
subcounty,,Merti,Female,22768
subcounty,,Meru Central,Female,66894
subcounty,,Meru National Park,Female,102
subcounty,,Meru South,Female,46155
subcounty,,Migwani,Female,41726
subcounty,,Mirangine,Female,33766
subcounty,,Mogotio,Female,45088
subcounty,,Moiben,Female,91027
subcounty,,Molo,Female,78598
subcounty,,Moyale,Female,52508
subcounty,,Msambweni,Female,88480
subcounty,,Mt Elgon,Female,39893
subcounty,,Mt Elgon Forest,Female,1759
subcounty,,Mt Kenya Forest,Female,343
subcounty,,Muhoroni,Female,77345
subcounty,,Mukaa,Female,53068
subcounty,,Mukurwe-ini,Female,45156
subcounty,,Mum oni,Female,15596
subcounty,,Mumias East,Female,60953
subcounty,,Mumias West,Female,60438
subcounty,,Murang'a East,Female,55645
subcounty,,Murang'a South,Female,93087
subcounty,,Mutitu,Female,28896
subcounty,,Mutitu North,Female,10877
subcounty,,Mutomo,Female,58531
subcounty,,Mvita,Female,78601
subcounty,,Mwala,Female,91466
subcounty,,Mwatate,Female,40231
subcounty,,Mwea East,Female,66114
subcounty,,Mwea West,Female,52594
subcounty,,Mwingi Central,Female,56174
subcounty,,Mwingi East,Female,44820
subcounty,,Naivasha,Female,176132
subcounty,,Nakuru East,Female,100960
subcounty,,Nakuru North,Female,111880
subcounty,,Nakuru West,Female,96854
subcounty,,Nambale,Female,58732
subcounty,,Nandi Central,Female,74255
subcounty,,Nandi East,Female,59271
subcounty,,Nandi North,Female,83656
subcounty,,Nandi South,Female,87029
subcounty,,Narok East,Female,56617
subcounty,,Narok North,Female,123829
subcounty,,Narok South,Female,120029
subcounty,,Narok West,Female,98198
subcounty,,Navakholo,Female,80695
subcounty,,Ndhiwa,Female,114422
subcounty,,Njiru,Female,318809
subcounty,,Njoro,Female,120408
subcounty,,North Horr,Female,29726
subcounty,,Nyahururu,Female,78447
subcounty,,Nyakach,Female,79082
subcounty,,Nyali,Female,107346
subcounty,,Nyamache,Female,68782
subcounty,,Nyamira North,Female,86947
subcounty,,Nyamira South,Female,82965
subcounty,,Nyandarua Central,Female,37931
subcounty,,Nyandarua North,Female,50210
subcounty,,Nyandarua South,Female,47708
subcounty,,Nyandarua West,Female,49209
subcounty,,Nyando,Female,84380
subcounty,,Nyatike,Female,92164
subcounty,,Nyeri Central,Female,70380
subcounty,,Nyeri South,Female,46964
subcounty,,Nzambani,Female,23857
subcounty,,Nzaui,Female,63526
subcounty,,Pokot Central,Female,59331
subcounty,,Pokot North,Female,69702
subcounty,,Pokot South,Female,40851
subcounty,,Rabai,Female,62242
subcounty,,Rachuonyo East,Female,64111
subcounty,,Rachuonyo North,Female,93273
subcounty,,Rachuonyo South,Female,69151
subcounty,,Rangwe,Female,62325
subcounty,,Rarieda,Female,79999
subcounty,,Rongai,Female,99922
subcounty,,Rongo,Female,65329
subcounty,,Ruiru,Female,190144
subcounty,,Sabatia,Female,68683
subcounty,,Samburu Central,Female,81307
subcounty,,Samburu East,Female,39782
subcounty,,Samburu North,Female,32457
subcounty,,Samburu-Kwale,Female,104731
subcounty,,Sameta,Female,35164
subcounty,,Samia,Female,56341
subcounty,,Seme,Female,64007
subcounty,,Siaya,Female,118433
subcounty,,Soin Sigowet,Female,63395
subcounty,,Sololo,Female,21354
subcounty,,Sotik,Female,115482
subcounty,,Soy,Female,115007
subcounty,,Starehe,Female,101238
subcounty,,Suba North,Female,64406
subcounty,,Suba South,Female,62998
subcounty,,Subukia,Female,43118
subcounty,,Suna East,Female,63694
subcounty,,Suna West,Female,67459
subcounty,,Taita Taveta,Female,27573
subcounty,,Tana Delta,Female,57632
subcounty,,Tana North,Female,54924
subcounty,,Tarbaj,Female,30086
subcounty,,Taita Taveta,Female,43812
subcounty,,Teso North,Female,71619
subcounty,,Teso South,Female,87630
subcounty,,Tetu,Female,41155
subcounty,,Thagicu,Female,7994
subcounty,,Tharaka North,Female,30053
subcounty,,Tharaka South,Female,39058
subcounty,,Thika East,Female,19264
subcounty,,Thika West,Female,125104
subcounty,,Tiaty East,Female,35068
subcounty,,Tigania Central,Female,52916
subcounty,,Tigania East,Female,37194
subcounty,,Tigania West,Female,72241
subcounty,,Tinderet,Female,57039
subcounty,,Tongaren,Female,51657
subcounty,,Trans Mara East,Female,56637
subcounty,,Trans Mara West,Female,123491
subcounty,,Trans Nzoia East,Female,116029
subcounty,,Trans Nzoia West,Female,101174
subcounty,,Tseikuru,Female,21252
subcounty,,Turbo,Female,133682
subcounty,,Turkana Central,Female,92160
subcounty,,Turkana East,Female,61643
subcounty,,Turkana North,Female,32408
subcounty,,Turkana South,Female,75329
subcounty,,Turkana West,Female,115758
subcounty,,Ugenya,Female,71726
subcounty,,Ugunja,Female,55329
subcounty,,Uriri,Female,73318
subcounty,,Vihiga,Female,49501
subcounty,,Voi,Female,55711
subcounty,,Wajir East,Female,51292
subcounty,,Wajir North,Female,30209
subcounty,,Wajir South,Female,51864
subcounty,,Wajir West,Female,56037
subcounty,,Webuye West,Female,78331
subcounty,,West Pokot,Female,92626
subcounty,,Westlands,Female,155021
subcounty,,Yatta,Female,87144
county,30,Baringo,Intersex,13
county,36,Bomet,Intersex,23
county,39,Bungoma,Intersex,35
county,40,Busia,Intersex,28
county,28,Elgeyo-Marakwet,Intersex,12
county,14,Embu,Intersex,24
county,7,Garissa,Intersex,34
county,43,Homa Bay,Intersex,23
county,11,Isiolo,Intersex,9
county,34,Kajiado,Intersex,38
county,37,Kakamega,Intersex,40
country,KE,Kenya,Intersex,1524
county,35,Kericho,Intersex,28
county,22,Kiambu,Intersex,135
county,3,Kilifi,Intersex,25
county,20,Kirinyaga,Intersex,31
county,45,Kisii,Intersex,38
county,42,Kisumu,Intersex,23
county,15,Kitui,Intersex,33
county,2,Kwale,Intersex,18
county,31,Laikipia,Intersex,18
county,5,Lamu,Intersex,4
county,16,Machakos,Intersex,34
county,17,Makueni,Intersex,20
county,9,Mandera,Intersex,37
county,10,Marsabit,Intersex,18
county,12,Meru,Intersex,41
county,44,Migori,Intersex,35
county,1,Mombasa,Intersex,30
county,21,Murang'a,Intersex,31
county,47,Nairobi,Intersex,245
county,32,Nakuru,Intersex,95
county,29,Nandi,Intersex,22
county,33,Narok,Intersex,26
county,46,Nyamira,Intersex,13
county,18,Nyandarua,Intersex,20
county,19,Nyeri,Intersex,31
county,25,Samburu,Intersex,7
county,41,Siaya,Intersex,18
county,6,Taita Taveta,Intersex,7
county,4,Tana River,Intersex,2
county,13,Tharaka-Nithi,Intersex,7
county,26,Trans Nzoia,Intersex,28
county,23,Turkana,Intersex,21
county,27,Uasin Gishu,Intersex,28
county,38,Vihiga,Intersex,12
county,8,Wajir,Intersex,49
county,24,West Pokot,Intersex,15
subcounty,,Aberdare Forest,Intersex,0
subcounty,,Ainabkoi,Intersex,1
subcounty,,Athi River,Intersex,5
subcounty,,Awendo,Intersex,3
subcounty,,Balambala,Intersex,1
subcounty,,Banisa,Intersex,9
subcounty,,Baringo Central,Intersex,2
subcounty,,Baringo North,Intersex,2
subcounty,,Belgut,Intersex,
subcounty,,Bomet Central,Intersex,4
subcounty,,Bomet East,Intersex,8
subcounty,,Bondo,Intersex,4
subcounty,,Borabu,Intersex,
subcounty,,Bumula,Intersex,1
subcounty,,Buna,Intersex,2
subcounty,,Bungoma Central,Intersex,8
subcounty,,Bungoma East,Intersex,2
subcounty,,Bungoma North,Intersex,1
subcounty,,Bungoma South,Intersex,5
subcounty,,Bungoma West,Intersex,1
subcounty,,Bunyala,Intersex,1
subcounty,,Bureti,Intersex,5
subcounty,,Busia,Intersex,1
subcounty,,Butere,Intersex,3
subcounty,,Butula,Intersex,3
subcounty,,Buuri East,Intersex,
subcounty,,Buuri West,Intersex,2
subcounty,,Changamwe,Intersex,
subcounty,,Chepalungu,Intersex,4
subcounty,,Cheptais,Intersex,6
subcounty,,Chesumei,Intersex,4
subcounty,,Chonyi,Intersex,1
subcounty,,Dadaab,Intersex,8
subcounty,,Dagoretti,Intersex,31
subcounty,,East Pokot,Intersex,2
subcounty,,Eldas,Intersex,7
subcounty,,Embakasi,Intersex,62
subcounty,,Embu East,Intersex,2
subcounty,,Embu North,Intersex,3
subcounty,,Embu West,Intersex,9
subcounty,,Emuhaya,Intersex,1
subcounty,,Endebess,Intersex,3
subcounty,,Etago,Intersex,3
subcounty,,Fafi,Intersex,10
subcounty,,Ganze,Intersex,4
subcounty,,Garbatulla,Intersex,1
subcounty,,Garissa,Intersex,5
subcounty,,Gatanga,Intersex,4
subcounty,,Gatundu North,Intersex,3
subcounty,,Gatundu South,Intersex,5
subcounty,,Gem,Intersex,4
subcounty,,Gilgil,Intersex,7
subcounty,,Githunguri,Intersex,8
subcounty,,Gucha,Intersex,1
subcounty,,Gucha South,Intersex,3
subcounty,,Habaswein,Intersex,16
