geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,17,,Makueni,Budget Allocation ,Recurrent,69.31
county,17,,Makueni,Budget Allocation ,Development,102.34
county,17,,Makueni,Exchequer Issues,Recurrent,31.96
county,17,,Makueni,Exchequer Issues,Development,1.99
county,17,,Makueni,Expenditure,Recurrent,24.42
county,17,,Makueni,Expenditure,Development,6.29
