geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,47,,Nairobi,Public Financial Management,Absorption,10.72
county,47,,Nairobi,General Administrative Services,Absorption,42.30
county,47,,Nairobi,Economic and Financial Policy Formulation and Management,Absorption,5.5
